date,Step Counts,Heart Rate
2016-08-19 00:00:00,2399,84
2016-08-20 00:00:00,15,76
2016-08-21 00:00:00,,78
2016-08-22 00:00:00,,76
2016-08-24 00:00:00,,72
2016-08-25 00:00:00,,76
2016-08-26 00:00:00,,76
2016-08-28 00:00:00,,78
2016-08-29 00:00:00,,77
2016-08-30 00:00:00,,71
2016-08-31 00:00:00,,86
2016-09-01 00:00:00,,76
2016-09-02 00:00:00,,74
2016-09-03 00:00:00,,79
2016-09-04 00:00:00,,73
2016-09-05 00:00:00,,72
2016-09-06 00:00:00,,81
2016-09-07 00:00:00,,78
2016-09-08 00:00:00,,72
2016-09-09 00:00:00,,73
2016-09-10 00:00:00,,82
2016-09-11 00:00:00,,67
2016-09-12 00:00:00,,78
2016-09-15 00:00:00,,78
2016-09-16 00:00:00,,73
2016-09-18 00:00:00,,71
2016-09-19 00:00:00,,73
2016-09-20 00:00:00,,73
2016-09-21 00:00:00,,79
2016-09-22 00:00:00,,74
2016-09-23 00:00:00,,74
2016-09-24 00:00:00,,77
2016-09-25 00:00:00,,72
2016-09-28 00:00:00,,77
2016-09-29 00:00:00,,76
2016-09-30 00:00:00,,71
2016-10-01 00:00:00,,74
2016-10-12 00:00:00,6806,
2016-10-13 00:00:00,3715,
2016-10-14 00:00:00,5022,
2016-10-15 00:00:00,862,
2016-10-17 00:00:00,2687,
2016-10-18 00:00:00,5041,
2016-10-19 00:00:00,488,
2016-10-20 00:00:00,4646,
2016-10-21 00:00:00,248,
2016-10-25 00:00:00,13679,
2016-10-26 00:00:00,4437,
2016-10-28 00:00:00,11556,
2016-10-29 00:00:00,9633,
2016-10-30 00:00:00,8881,
2016-11-04 00:00:00,7979,
2016-11-06 00:00:00,9908,
2016-11-20 00:00:00,7838,
2016-11-25 00:00:00,9772,
2016-11-26 00:00:00,7511,
