date,Step Counts,Heart Rate
2015-12-29 00:00:00,10931,
2015-12-30 00:00:00,7720,
2015-12-31 00:00:00,8308,
2016-01-01 00:00:00,9595,
2016-01-02 00:00:00,9034,
2016-01-03 00:00:00,7441,
2016-01-04 00:00:00,7577,
2016-01-05 00:00:00,5596,
2016-01-06 00:00:00,6759,
2016-01-07 00:00:00,10178,
2016-01-08 00:00:00,8478,
2016-01-09 00:00:00,7956,
2016-01-10 00:00:00,2974,
2016-01-11 00:00:00,8525,
2016-01-12 00:00:00,12827,
2016-01-13 00:00:00,7651,
2016-01-14 00:00:00,6186,
2016-01-15 00:00:00,5614,
2016-01-16 00:00:00,6522,
2016-01-17 00:00:00,12852,
2016-01-18 00:00:00,7726,
