date,Step Counts,Heart Rate
2016-07-19 00:00:00,,67
2016-07-21 00:00:00,,73
2016-07-22 00:00:00,1622,86
2016-07-23 00:00:00,,64
2016-07-24 00:00:00,,67
2016-07-25 00:00:00,,80
2016-07-26 00:00:00,,64
2016-07-27 00:00:00,,65
2016-07-28 00:00:00,,60
2016-07-31 00:00:00,,72
2016-08-01 00:00:00,,87
2016-08-05 00:00:00,,66
2016-08-07 00:00:00,,65
2016-08-11 00:00:00,,68
2016-08-12 00:00:00,,85
2016-08-15 00:00:00,,79
2016-08-16 00:00:00,,82
2016-08-17 00:00:00,,82
2016-08-20 00:00:00,,60
2016-08-21 00:00:00,,66
2016-08-22 00:00:00,,67
2016-08-24 00:00:00,,83
2016-09-01 00:00:00,,63
2016-09-08 00:00:00,,68
2016-09-11 00:00:00,,85
2016-10-03 00:00:00,,69
2016-10-07 00:00:00,,79
2016-10-08 00:00:00,,87
2016-10-09 00:00:00,3637,88
2016-10-12 00:00:00,,86
2016-10-13 00:00:00,172,93
2016-11-14 00:00:00,,64
2016-11-15 00:00:00,,59
2016-11-17 00:00:00,,66
