date,Step Counts,Heart Rate
2016-10-03 00:00:00,,78
2016-10-05 00:00:00,,84
2016-10-08 00:00:00,,75
2016-10-13 00:00:00,,64
2016-10-19 00:00:00,,87
2016-10-25 00:00:00,,85
2016-10-27 00:00:00,,81
2016-10-30 00:00:00,,66
2016-11-02 00:00:00,,70
2016-11-07 00:00:00,,87
2016-11-08 00:00:00,,66
2016-11-10 00:00:00,,63
2016-12-16 00:00:00,,62
2016-12-28 00:00:00,,84
2017-01-02 00:00:00,,79
2017-01-03 00:00:00,,82
2017-01-04 00:00:00,,85
2017-01-31 00:00:00,,67
2017-02-01 00:00:00,,62
2017-02-20 00:00:00,,67
2017-02-23 00:00:00,,81
2017-02-24 00:00:00,,86
2017-02-25 00:00:00,,63
2017-02-27 00:00:00,,74
2017-03-01 00:00:00,,81
2017-03-02 00:00:00,,80
2017-03-03 00:00:00,,78
