date,Step Counts,Heart Rate
2017-07-06 00:00:00,,83
2017-07-07 00:00:00,,79
2017-07-08 00:00:00,,83
2017-07-09 00:00:00,,85
2017-07-10 00:00:00,,87
2017-07-11 00:00:00,,79
2017-07-12 00:00:00,,87
2017-07-13 00:00:00,,80
2017-07-14 00:00:00,,78
2017-07-15 00:00:00,,81
2017-07-17 00:00:00,,87
2017-07-18 00:00:00,,77
2017-07-19 00:00:00,,81
2017-07-20 00:00:00,,84
2017-07-21 00:00:00,,80
2017-07-22 00:00:00,,87
2017-07-23 00:00:00,,83
2017-07-24 00:00:00,,83
2017-07-25 00:00:00,,79
2017-07-27 00:00:00,,85
2017-07-28 00:00:00,,82
2017-07-29 00:00:00,,81
2017-07-30 00:00:00,,83
2017-07-31 00:00:00,,81
2017-08-01 00:00:00,,79
2017-08-02 00:00:00,,83
2017-08-04 00:00:00,,82
2017-08-05 00:00:00,,81
2017-08-06 00:00:00,,84
2017-08-07 00:00:00,,84
2017-08-09 00:00:00,,83
2017-08-10 00:00:00,,79
2017-08-11 00:00:00,,74
2017-08-12 00:00:00,,81
2017-08-13 00:00:00,,85
2017-08-14 00:00:00,,80
2017-08-15 00:00:00,,82
2017-08-18 00:00:00,,79
2017-08-20 00:00:00,,79
2017-08-21 00:00:00,,82
2017-08-23 00:00:00,,77
2017-08-25 00:00:00,,84
2017-08-26 00:00:00,,80
2017-08-27 00:00:00,,81
2017-08-28 00:00:00,,79
2017-08-30 00:00:00,,84
2017-08-31 00:00:00,,82
2017-09-01 00:00:00,,82
2017-09-02 00:00:00,,79
2017-09-03 00:00:00,,85
2017-09-04 00:00:00,,81
2017-09-05 00:00:00,,80
2017-09-07 00:00:00,,84
2017-09-08 00:00:00,,84
2017-09-09 00:00:00,,77
2017-09-10 00:00:00,,82
2017-09-11 00:00:00,,81
2017-09-13 00:00:00,,84
2017-09-14 00:00:00,,74
2017-09-15 00:00:00,,81
2017-09-16 00:00:00,,78
2017-09-17 00:00:00,,81
