date,Step Counts,Heart Rate
2016-09-25 00:00:00,10031,91
2016-09-26 00:00:00,11079,78
2016-09-28 00:00:00,13466,84
2016-09-30 00:00:00,5675,80
2016-10-02 00:00:00,7728,87
2016-10-03 00:00:00,10595,90
2016-10-05 00:00:00,5791,77
2016-10-06 00:00:00,5460,76
2016-10-07 00:00:00,8094,81
2016-10-08 00:00:00,7365,86
2016-10-10 00:00:00,7498,77
2016-10-11 00:00:00,8424,76
2016-10-12 00:00:00,14314,91
2016-10-13 00:00:00,6415,83
2016-10-14 00:00:00,5305,77
2016-10-15 00:00:00,10223,85
2016-10-17 00:00:00,14036,85
2016-10-18 00:00:00,6346,76
2016-10-19 00:00:00,16766,92
2016-10-20 00:00:00,6332,76
2016-10-21 00:00:00,4704,77
2016-10-22 00:00:00,9326,87
