date,Step Counts,Heart Rate
2018-07-20 00:00:00,,86
2018-07-21 00:00:00,,84
2018-07-22 00:00:00,,75
2018-07-23 00:00:00,,78
2018-07-31 00:00:00,,80
2018-08-01 00:00:00,,74
2018-08-02 00:00:00,,87
2018-08-03 00:00:00,,77
2018-08-05 00:00:00,,76
2018-08-08 00:00:00,,78
2018-08-09 00:00:00,,82
2018-08-10 00:00:00,,80
2018-08-11 00:00:00,,87
2018-08-12 00:00:00,,83
2018-08-18 00:00:00,,84
2018-08-19 00:00:00,,78
2018-08-20 00:00:00,,80
2018-08-21 00:00:00,,87
2018-08-23 00:00:00,,73
2018-08-26 00:00:00,,89
2018-08-28 00:00:00,,79
2018-08-30 00:00:00,,76
2018-09-02 00:00:00,,78
2018-09-03 00:00:00,,72
2018-09-05 00:00:00,,70
2018-09-06 00:00:00,,85
2018-09-09 00:00:00,,83
2018-09-11 00:00:00,,81
2018-09-13 00:00:00,,77
2018-09-14 00:00:00,,82
2018-09-20 00:00:00,,94
