date,Step Counts,Heart Rate
2016-10-09 00:00:00,3770,
2016-10-10 00:00:00,3699,
2016-10-11 00:00:00,1605,
2016-10-13 00:00:00,1475,
2016-10-15 00:00:00,2999,
2016-10-16 00:00:00,1967,
2016-10-18 00:00:00,2809,
2016-10-19 00:00:00,1978,
2016-10-20 00:00:00,2908,
2016-10-21 00:00:00,4664,
2016-10-22 00:00:00,6982,
2016-10-23 00:00:00,4379,
2016-10-25 00:00:00,2153,
2016-10-26 00:00:00,4288,
2016-10-27 00:00:00,4307,
2016-10-28 00:00:00,2964,
2016-10-29 00:00:00,503,
2016-10-31 00:00:00,2893,
2016-11-01 00:00:00,4617,
2016-11-02 00:00:00,4898,
2016-11-03 00:00:00,3183,
2016-11-05 00:00:00,1051,
2016-11-06 00:00:00,4146,
2016-11-07 00:00:00,2814,
2016-11-10 00:00:00,1479,
2016-11-11 00:00:00,2400,
2016-11-12 00:00:00,1741,
2016-11-13 00:00:00,2137,
2016-11-14 00:00:00,2868,
2016-11-16 00:00:00,1111,
2016-11-17 00:00:00,1499,
2016-11-18 00:00:00,2644,
2016-11-22 00:00:00,1397,
2016-11-23 00:00:00,3387,
2016-11-24 00:00:00,5293,
2016-11-26 00:00:00,3094,
2016-11-28 00:00:00,1837,
2016-11-29 00:00:00,2624,
2016-11-30 00:00:00,3933,
2016-12-02 00:00:00,4387,
2016-12-06 00:00:00,106,
2016-12-07 00:00:00,3940,
2016-12-09 00:00:00,1988,
2016-12-10 00:00:00,945,
2016-12-11 00:00:00,742,
2016-12-12 00:00:00,1404,
2016-12-13 00:00:00,1879,
2016-12-14 00:00:00,1972,
2016-12-16 00:00:00,3974,
2016-12-17 00:00:00,3734,
2016-12-18 00:00:00,2593,
2016-12-19 00:00:00,3005,
2016-12-20 00:00:00,3343,
2016-12-22 00:00:00,1497,
2016-12-23 00:00:00,2090,
2016-12-24 00:00:00,2992,
2016-12-25 00:00:00,3846,
2016-12-27 00:00:00,1926,
2016-12-28 00:00:00,2845,
2016-12-29 00:00:00,1974,
2016-12-30 00:00:00,1686,
2017-01-03 00:00:00,3225,
2017-01-04 00:00:00,3401,
2017-01-05 00:00:00,1300,
2017-01-06 00:00:00,2004,
2017-01-08 00:00:00,4064,
2017-01-10 00:00:00,1666,
2017-01-15 00:00:00,3755,
2017-01-16 00:00:00,4054,
2017-01-17 00:00:00,2638,
2017-01-18 00:00:00,3638,
2017-01-20 00:00:00,2743,
2017-01-21 00:00:00,6205,
2017-01-22 00:00:00,2275,
2017-01-23 00:00:00,4090,
2017-01-25 00:00:00,1959,
2017-01-26 00:00:00,3289,
2017-01-30 00:00:00,2273,
2017-01-31 00:00:00,2431,
2017-02-01 00:00:00,1137,
2017-04-09 00:00:00,2017,
2017-04-10 00:00:00,5193,
2017-04-12 00:00:00,14715,
2017-04-13 00:00:00,3765,
2017-04-15 00:00:00,1845,
2017-04-16 00:00:00,4674,
2017-04-18 00:00:00,18291,
2017-04-19 00:00:00,5993,
2017-04-20 00:00:00,2598,
2017-04-21 00:00:00,3459,
2017-04-23 00:00:00,4177,
2017-04-25 00:00:00,2292,
2017-04-26 00:00:00,732,
2017-04-28 00:00:00,2019,
2017-04-29 00:00:00,1730,
2017-04-30 00:00:00,2212,
2017-05-01 00:00:00,7897,
2017-05-02 00:00:00,2263,
2017-05-03 00:00:00,3034,
2017-05-05 00:00:00,1883,
2017-05-06 00:00:00,6185,
2017-05-07 00:00:00,1278,
2017-05-15 00:00:00,2898,
2017-05-17 00:00:00,1554,
2017-05-18 00:00:00,2146,
2017-05-20 00:00:00,3208,
2017-05-21 00:00:00,2489,
2017-05-22 00:00:00,2905,
2017-05-23 00:00:00,1481,
2017-05-25 00:00:00,4965,
2017-05-26 00:00:00,1359,
2017-05-27 00:00:00,2705,
2017-05-28 00:00:00,4707,
2017-05-29 00:00:00,1549,
2017-05-30 00:00:00,1645,
2017-05-31 00:00:00,2315,
2017-06-01 00:00:00,2953,
2017-06-02 00:00:00,2048,
2017-06-03 00:00:00,4990,
2017-06-06 00:00:00,1780,
2017-06-07 00:00:00,1431,
2017-06-08 00:00:00,2489,
2017-06-09 00:00:00,2055,
