date,Step Counts,Heart Rate
2016-03-07 00:00:00,,71
2016-03-08 00:00:00,,71
2016-03-13 00:00:00,,74
2016-03-14 00:00:00,,67
2016-03-16 00:00:00,,69
2016-03-19 00:00:00,,82
2016-03-20 00:00:00,,75
2016-03-21 00:00:00,,67
2016-03-22 00:00:00,,77
2016-03-25 00:00:00,,67
2016-03-26 00:00:00,,72
2016-04-01 00:00:00,,76
2016-04-02 00:00:00,,77
2016-04-03 00:00:00,,70
2016-04-04 00:00:00,,76
2016-04-17 00:00:00,,73
2016-04-20 00:00:00,,75
2016-04-23 00:00:00,,77
2016-04-24 00:00:00,,87
2016-04-25 00:00:00,,77
2016-04-28 00:00:00,,71
2016-04-29 00:00:00,,70
2016-05-04 00:00:00,,69
2016-05-06 00:00:00,,80
2016-05-07 00:00:00,,75
2016-05-08 00:00:00,,78
2016-05-09 00:00:00,,76
2016-05-10 00:00:00,,66
2016-05-13 00:00:00,,75
2016-05-14 00:00:00,,76
2016-05-15 00:00:00,,72
2016-05-16 00:00:00,,77
2016-05-18 00:00:00,,75
2016-05-20 00:00:00,,77
2016-05-21 00:00:00,,68
2016-05-23 00:00:00,,83
2016-05-26 00:00:00,,68
2016-05-27 00:00:00,,76
2016-05-29 00:00:00,,82
2016-06-01 00:00:00,,73
2016-06-02 00:00:00,,76
2016-06-04 00:00:00,,84
2016-06-05 00:00:00,,78
2016-06-06 00:00:00,,80
2016-06-08 00:00:00,,74
2016-06-10 00:00:00,,74
2016-06-11 00:00:00,,77
2016-06-12 00:00:00,,70
2016-06-15 00:00:00,,70
2016-06-17 00:00:00,,73
2016-06-18 00:00:00,,73
2016-06-19 00:00:00,,71
2016-06-20 00:00:00,,70
2016-06-23 00:00:00,,70
2016-06-24 00:00:00,,83
2016-06-25 00:00:00,,72
2016-06-26 00:00:00,,74
