date,Step Counts,Heart Rate
2015-12-26 00:00:00,1554,84
2015-12-27 00:00:00,2998,104
2015-12-28 00:00:00,,101
2015-12-29 00:00:00,,104
2016-01-02 00:00:00,4685,76
2016-01-03 00:00:00,11116,80
2016-01-04 00:00:00,11692,77
2016-01-06 00:00:00,4622,83
2016-01-07 00:00:00,2741,75
2016-01-08 00:00:00,5077,80
2016-01-09 00:00:00,7457,95
2016-01-10 00:00:00,7248,96
2016-01-11 00:00:00,898,87
2016-01-13 00:00:00,9314,86
2016-01-14 00:00:00,4109,74
2016-01-15 00:00:00,,105
2016-01-16 00:00:00,1586,96
2016-01-17 00:00:00,2558,95
2016-01-19 00:00:00,,104
2016-01-20 00:00:00,,98
2016-01-21 00:00:00,2842,95
2016-01-22 00:00:00,,113
2016-01-23 00:00:00,453,98
2016-01-24 00:00:00,1237,94
2016-01-26 00:00:00,12420,84
2016-01-28 00:00:00,6301,79
2016-01-29 00:00:00,5397,74
2016-01-30 00:00:00,5523,75
2016-01-31 00:00:00,,102
2016-02-01 00:00:00,3373,90
2016-02-02 00:00:00,5811,72
2016-02-03 00:00:00,3019,83
2016-02-04 00:00:00,2400,91
2016-02-05 00:00:00,4842,88
2016-02-06 00:00:00,2349,105
2016-02-07 00:00:00,2270,92
2016-02-08 00:00:00,,110
2016-02-12 00:00:00,1138,93
2016-02-13 00:00:00,4270,76
2016-02-14 00:00:00,2301,91
2016-02-15 00:00:00,3881,87
2016-02-16 00:00:00,,99
2016-02-17 00:00:00,,98
2016-02-23 00:00:00,4871,61
2016-02-24 00:00:00,10828,80
2016-02-25 00:00:00,10574,80
2016-02-26 00:00:00,375,104
2016-02-27 00:00:00,3222,88
2016-02-28 00:00:00,3539,99
2016-03-01 00:00:00,,100
2016-03-02 00:00:00,2107,92
2016-03-03 00:00:00,2856,92
2016-03-04 00:00:00,,115
2016-03-05 00:00:00,,105
2016-03-06 00:00:00,2358,87
2016-03-07 00:00:00,2643,68
2016-03-09 00:00:00,8557,88
2016-03-10 00:00:00,5989,67
2016-03-11 00:00:00,5225,73
2016-03-12 00:00:00,5941,76
2016-03-13 00:00:00,32,90
2016-03-14 00:00:00,2425,99
2016-03-15 00:00:00,3200,78
2016-03-17 00:00:00,,103
2016-03-18 00:00:00,3194,93
2016-03-19 00:00:00,1250,104
2016-03-20 00:00:00,2064,110
2016-03-22 00:00:00,4146,83
2016-03-23 00:00:00,2442,82
2016-03-25 00:00:00,3301,73
2016-03-26 00:00:00,1716,88
