date,Step Counts,Heart Rate
2016-05-04 00:00:00,5364,74
2016-05-05 00:00:00,4744,73
2016-05-06 00:00:00,7440,78
2016-05-07 00:00:00,2425,71
2016-05-09 00:00:00,7020,69
2016-05-10 00:00:00,5021,72
2016-05-11 00:00:00,7371,72
2016-05-12 00:00:00,6507,80
2016-05-13 00:00:00,4681,71
2016-05-14 00:00:00,4351,78
2016-05-15 00:00:00,4489,74
2016-05-17 00:00:00,8145,74
2016-05-18 00:00:00,4402,74
2016-05-19 00:00:00,7262,75
2016-05-20 00:00:00,,75
2016-05-21 00:00:00,,87
2016-05-23 00:00:00,4535,77
2016-05-24 00:00:00,7586,72
2016-05-25 00:00:00,7458,77
2016-05-26 00:00:00,6972,88
2016-05-27 00:00:00,17207,78
2016-05-28 00:00:00,18550,72
2016-05-29 00:00:00,23785,72
2016-05-30 00:00:00,14670,76
2016-05-31 00:00:00,14745,76
2016-06-01 00:00:00,11750,75
2016-06-02 00:00:00,12156,82
2016-06-03 00:00:00,8489,74
2016-06-04 00:00:00,11819,75
2016-06-05 00:00:00,4872,76
2016-06-06 00:00:00,6474,75
2016-06-07 00:00:00,4873,70
2016-06-08 00:00:00,7448,75
2016-06-09 00:00:00,5982,75
2016-06-10 00:00:00,4113,78
2016-06-11 00:00:00,4759,88
