date,Step Counts,Heart Rate
2016-07-04 00:00:00,,61
2016-07-06 00:00:00,,67
2016-07-07 00:00:00,,64
2016-07-08 00:00:00,,71
2016-07-09 00:00:00,,61
2016-07-10 00:00:00,,68
2016-07-11 00:00:00,,69
2016-07-12 00:00:00,,69
2016-07-13 00:00:00,,71
2016-07-15 00:00:00,,72
2016-07-16 00:00:00,,69
2016-07-17 00:00:00,,74
2016-07-18 00:00:00,,69
2016-07-19 00:00:00,,73
2016-07-20 00:00:00,,67
2016-07-21 00:00:00,,76
2016-07-22 00:00:00,,71
2016-07-23 00:00:00,,75
2016-07-24 00:00:00,,79
2016-07-25 00:00:00,,75
2016-07-26 00:00:00,,74
2016-07-27 00:00:00,,72
2016-07-28 00:00:00,,71
2016-07-29 00:00:00,,73
2016-07-30 00:00:00,,72
2016-07-31 00:00:00,,84
2016-08-01 00:00:00,,75
2016-08-02 00:00:00,,79
2016-08-03 00:00:00,,73
2016-08-04 00:00:00,,77
2016-08-06 00:00:00,,72
2016-08-07 00:00:00,,74
2016-08-08 00:00:00,,66
2016-08-09 00:00:00,,73
2016-08-10 00:00:00,,72
2016-08-11 00:00:00,,79
2016-08-12 00:00:00,,73
2016-08-13 00:00:00,,67
2016-08-15 00:00:00,,68
2016-08-17 00:00:00,,76
2016-08-18 00:00:00,,73
2016-08-19 00:00:00,,80
2016-08-20 00:00:00,,72
2016-08-21 00:00:00,,64
2016-08-22 00:00:00,,78
2016-08-23 00:00:00,,78
2016-08-24 00:00:00,,71
2016-08-25 00:00:00,,69
2016-08-26 00:00:00,,67
2016-08-27 00:00:00,,69
2016-08-28 00:00:00,,65
2016-08-29 00:00:00,,75
2016-08-30 00:00:00,,74
2016-08-31 00:00:00,,71
2016-09-01 00:00:00,,77
2016-09-02 00:00:00,,70
2016-09-03 00:00:00,,70
2016-09-04 00:00:00,,72
2016-09-05 00:00:00,,78
2016-09-06 00:00:00,,80
2016-09-07 00:00:00,,70
2016-09-08 00:00:00,,71
2016-09-09 00:00:00,,64
2016-09-10 00:00:00,,69
2016-09-11 00:00:00,,71
2016-09-12 00:00:00,,75
2016-09-13 00:00:00,,77
2016-09-14 00:00:00,,69
2016-09-15 00:00:00,,71
2016-09-16 00:00:00,,73
2016-09-17 00:00:00,,73
2016-09-18 00:00:00,,71
2016-09-19 00:00:00,,69
2016-09-20 00:00:00,,71
2016-09-21 00:00:00,,69
2016-09-22 00:00:00,,73
2016-09-23 00:00:00,,75
2016-09-24 00:00:00,,68
2016-09-25 00:00:00,,70
2016-09-26 00:00:00,,69
2016-09-27 00:00:00,,71
2016-09-28 00:00:00,,69
2016-09-29 00:00:00,,76
2016-09-30 00:00:00,,72
2016-10-01 00:00:00,,68
2016-10-02 00:00:00,,78
2016-10-03 00:00:00,,75
2016-10-04 00:00:00,,73
2016-10-05 00:00:00,,78
2016-10-06 00:00:00,,73
2016-10-08 00:00:00,,70
2016-10-09 00:00:00,,77
2016-10-10 00:00:00,,72
2016-10-11 00:00:00,,67
2016-10-12 00:00:00,,66
2016-10-13 00:00:00,,72
2016-10-14 00:00:00,,75
2016-10-15 00:00:00,,74
2016-10-16 00:00:00,,72
2016-10-17 00:00:00,,73
2016-10-18 00:00:00,,72
2016-10-19 00:00:00,,71
2016-10-20 00:00:00,,68
2016-10-21 00:00:00,,72
2016-10-22 00:00:00,,70
2016-10-23 00:00:00,,73
2016-10-24 00:00:00,,70
2016-10-25 00:00:00,,74
2016-10-26 00:00:00,,67
2016-10-27 00:00:00,,72
2016-10-28 00:00:00,,71
2016-10-29 00:00:00,,77
2016-10-30 00:00:00,,70
2016-10-31 00:00:00,,72
2016-11-02 00:00:00,,71
2016-11-04 00:00:00,,70
2016-11-05 00:00:00,,70
2016-11-06 00:00:00,,68
2016-11-07 00:00:00,,72
2016-11-08 00:00:00,,73
2016-11-10 00:00:00,,80
2016-11-11 00:00:00,,74
2016-11-12 00:00:00,,69
2016-11-13 00:00:00,,72
2016-11-14 00:00:00,2064,67
2016-11-15 00:00:00,2257,72
2016-11-16 00:00:00,905,76
2016-11-17 00:00:00,3616,70
2016-11-18 00:00:00,8416,76
2016-11-19 00:00:00,559,74
2016-11-20 00:00:00,318,66
2016-11-21 00:00:00,1617,71
2016-11-22 00:00:00,1580,74
2016-11-23 00:00:00,1132,69
2016-11-24 00:00:00,100,74
2016-11-25 00:00:00,508,71
2016-11-26 00:00:00,357,71
2016-11-28 00:00:00,623,71
2016-11-29 00:00:00,2421,67
2016-12-01 00:00:00,4540,74
2016-12-03 00:00:00,2180,76
2016-12-04 00:00:00,87,77
2016-12-05 00:00:00,988,76
2016-12-08 00:00:00,1346,77
2016-12-09 00:00:00,1871,75
2016-12-10 00:00:00,1554,67
2016-12-13 00:00:00,2855,73
2016-12-14 00:00:00,1452,75
2016-12-15 00:00:00,1658,77
2016-12-17 00:00:00,794,72
2016-12-19 00:00:00,864,75
2016-12-20 00:00:00,1088,80
2016-12-21 00:00:00,1223,78
2016-12-23 00:00:00,3200,76
2016-12-25 00:00:00,1204,71
2016-12-26 00:00:00,1218,84
2016-12-27 00:00:00,2603,75
2016-12-28 00:00:00,1432,71
2016-12-29 00:00:00,1587,73
2016-12-30 00:00:00,1833,73
2016-12-31 00:00:00,1269,80
2017-01-01 00:00:00,172,71
2017-01-02 00:00:00,662,85
2017-01-03 00:00:00,2228,72
2017-01-04 00:00:00,298,76
2017-01-05 00:00:00,944,75
2017-01-06 00:00:00,1045,70
2017-01-08 00:00:00,822,73
2017-01-09 00:00:00,1870,75
2017-01-10 00:00:00,1790,73
2017-01-11 00:00:00,1335,75
2017-01-13 00:00:00,2260,76
2017-01-14 00:00:00,1686,75
2017-01-15 00:00:00,1181,75
2017-01-17 00:00:00,2325,77
2017-01-19 00:00:00,1520,75
2017-01-20 00:00:00,1338,86
2017-01-22 00:00:00,48,75
2017-01-23 00:00:00,1036,72
2017-01-24 00:00:00,3083,85
2017-01-25 00:00:00,1041,80
2017-01-26 00:00:00,1121,80
2017-01-28 00:00:00,1277,77
2017-01-29 00:00:00,163,71
2017-01-30 00:00:00,1865,77
2017-01-31 00:00:00,1933,77
2017-02-01 00:00:00,748,75
2017-02-02 00:00:00,2663,77
2017-02-03 00:00:00,1323,77
2017-02-04 00:00:00,1288,79
2017-02-06 00:00:00,2769,83
2017-02-08 00:00:00,2489,74
2017-02-09 00:00:00,2005,74
2017-02-10 00:00:00,2720,70
2017-02-11 00:00:00,2452,78
2017-02-12 00:00:00,1212,74
2017-02-14 00:00:00,1021,71
2017-02-15 00:00:00,2356,73
2017-02-16 00:00:00,1401,76
2017-02-17 00:00:00,2226,81
2017-02-18 00:00:00,3541,80
2017-02-19 00:00:00,1234,70
2017-02-20 00:00:00,1962,85
2017-02-21 00:00:00,4084,78
2017-02-22 00:00:00,2246,78
2017-02-23 00:00:00,2263,75
2017-02-24 00:00:00,3682,78
2017-02-26 00:00:00,1629,71
2017-02-28 00:00:00,3439,77
2017-03-01 00:00:00,926,81
2017-03-02 00:00:00,1458,74
2017-03-03 00:00:00,1280,76
2017-03-04 00:00:00,2190,76
2017-03-05 00:00:00,3523,80
2017-03-06 00:00:00,1206,76
2017-03-07 00:00:00,2116,75
2017-03-08 00:00:00,2885,73
2017-03-09 00:00:00,3151,77
2017-03-10 00:00:00,3498,81
2017-03-11 00:00:00,2633,69
2017-03-12 00:00:00,1764,73
2017-03-13 00:00:00,1813,73
2017-03-14 00:00:00,2008,75
2017-03-15 00:00:00,1293,72
2017-03-16 00:00:00,2390,71
2017-03-18 00:00:00,,75
2017-03-19 00:00:00,2283,
2017-03-21 00:00:00,3185,73
2017-03-22 00:00:00,1412,76
2017-03-23 00:00:00,2665,78
2017-03-24 00:00:00,12150,88
2017-03-25 00:00:00,2487,82
2017-03-26 00:00:00,933,74
2017-03-27 00:00:00,2620,73
2017-03-28 00:00:00,1618,82
2017-03-29 00:00:00,1243,82
2017-03-30 00:00:00,2425,78
2017-03-31 00:00:00,806,70
2017-04-01 00:00:00,600,73
2017-04-02 00:00:00,1214,72
2017-04-03 00:00:00,1135,71
2017-04-05 00:00:00,1879,71
2017-04-06 00:00:00,1434,70
2017-04-07 00:00:00,1046,71
2017-04-08 00:00:00,1302,82
2017-04-09 00:00:00,95,78
2017-04-10 00:00:00,4349,
2017-04-11 00:00:00,3374,77
2017-04-12 00:00:00,4388,77
2017-04-13 00:00:00,3597,84
2017-04-15 00:00:00,2138,81
2017-04-16 00:00:00,1333,69
2017-04-17 00:00:00,1828,73
2017-04-18 00:00:00,7783,77
2017-04-19 00:00:00,594,72
2017-04-21 00:00:00,687,70
2017-04-22 00:00:00,245,67
2017-04-23 00:00:00,2375,68
2017-04-24 00:00:00,799,69
2017-04-25 00:00:00,1085,76
2017-04-28 00:00:00,3528,77
2017-04-29 00:00:00,123,80
2017-04-30 00:00:00,538,74
2017-05-01 00:00:00,2937,76
2017-05-02 00:00:00,1645,68
2017-05-03 00:00:00,2148,77
2017-05-04 00:00:00,2282,68
2017-05-05 00:00:00,1964,72
2017-05-06 00:00:00,2722,82
2017-05-07 00:00:00,650,78
2017-05-08 00:00:00,743,77
2017-05-09 00:00:00,3752,84
2017-05-10 00:00:00,2823,80
2017-05-12 00:00:00,2192,74
2017-05-14 00:00:00,355,77
2017-05-15 00:00:00,1670,76
2017-05-17 00:00:00,127,76
2017-05-18 00:00:00,1856,80
2017-05-19 00:00:00,4206,75
2017-05-20 00:00:00,2114,74
2017-05-22 00:00:00,42,92
2017-05-23 00:00:00,1096,80
2017-05-25 00:00:00,2123,82
2017-05-26 00:00:00,1592,83
2017-05-27 00:00:00,388,70
2017-05-28 00:00:00,985,73
2017-05-29 00:00:00,281,
2017-05-30 00:00:00,2784,73
2017-05-31 00:00:00,145,83
2017-06-01 00:00:00,2512,74
2017-06-02 00:00:00,1723,69
2017-06-04 00:00:00,84,71
2017-06-05 00:00:00,1767,76
2017-06-06 00:00:00,1398,72
2017-06-07 00:00:00,1493,78
2017-06-08 00:00:00,1955,85
2017-06-09 00:00:00,4251,74
2017-06-10 00:00:00,895,87
2017-06-11 00:00:00,499,77
2017-06-13 00:00:00,426,76
2017-06-14 00:00:00,813,75
2017-06-15 00:00:00,1611,76
2017-06-17 00:00:00,1883,76
2017-06-18 00:00:00,451,83
2017-06-19 00:00:00,1794,82
2017-06-20 00:00:00,8008,86
2017-06-21 00:00:00,1532,78
2017-06-22 00:00:00,3868,78
2017-06-23 00:00:00,1838,73
2017-06-24 00:00:00,2764,76
2017-06-25 00:00:00,375,63
2017-06-26 00:00:00,1638,74
2017-06-27 00:00:00,6306,80
2017-06-28 00:00:00,1096,85
2017-06-29 00:00:00,1328,71
2017-06-30 00:00:00,889,74
2017-07-01 00:00:00,286,74
2017-07-02 00:00:00,62,74
2017-07-04 00:00:00,3108,74
2017-07-05 00:00:00,1554,73
2017-07-06 00:00:00,1400,79
2017-07-07 00:00:00,2376,78
2017-07-08 00:00:00,2383,75
2017-07-09 00:00:00,1115,
2017-07-10 00:00:00,2024,76
2017-07-12 00:00:00,251,
2017-07-13 00:00:00,4211,79
2017-07-14 00:00:00,2062,78
2017-07-16 00:00:00,117,75
2017-07-17 00:00:00,1635,80
2017-07-18 00:00:00,3670,77
2017-07-19 00:00:00,2820,72
2017-07-20 00:00:00,2675,
2017-07-21 00:00:00,1861,75
2017-07-22 00:00:00,2078,75
2017-07-23 00:00:00,759,73
2017-07-24 00:00:00,1828,85
2017-07-25 00:00:00,6308,
2017-07-27 00:00:00,1297,83
2017-07-28 00:00:00,5250,74
2017-07-29 00:00:00,2255,74
2017-07-30 00:00:00,710,72
2017-07-31 00:00:00,1902,81
2017-08-01 00:00:00,7872,76
2017-08-02 00:00:00,1680,71
2017-08-03 00:00:00,2380,77
2017-08-05 00:00:00,1467,79
2017-08-06 00:00:00,781,74
2017-08-07 00:00:00,934,81
2017-08-08 00:00:00,6436,81
2017-08-09 00:00:00,1690,82
2017-08-10 00:00:00,1600,71
2017-08-11 00:00:00,498,80
2017-08-12 00:00:00,1686,75
2017-08-13 00:00:00,288,78
2017-08-14 00:00:00,2249,74
2017-08-15 00:00:00,2776,77
2017-08-16 00:00:00,4130,83
2017-08-17 00:00:00,3720,74
2017-08-18 00:00:00,5292,77
2017-08-19 00:00:00,3659,77
2017-08-20 00:00:00,735,76
2017-08-21 00:00:00,,76
2017-08-23 00:00:00,,78
2017-08-24 00:00:00,,81
2017-08-25 00:00:00,,75
2017-08-26 00:00:00,,72
2017-08-27 00:00:00,,89
2017-08-29 00:00:00,,78
2017-08-30 00:00:00,,81
2017-08-31 00:00:00,,83
2017-09-01 00:00:00,,74
2017-09-02 00:00:00,,78
2017-09-03 00:00:00,,76
2017-09-04 00:00:00,,77
2017-09-05 00:00:00,,75
2017-09-06 00:00:00,,82
2017-09-07 00:00:00,,73
2017-09-09 00:00:00,,77
2017-09-10 00:00:00,,78
2017-09-12 00:00:00,,75
2017-09-13 00:00:00,,75
2017-09-15 00:00:00,,77
2017-09-16 00:00:00,,77
2017-09-17 00:00:00,,74
2017-09-18 00:00:00,,81
2017-09-19 00:00:00,,81
2017-09-20 00:00:00,,77
2017-09-22 00:00:00,,75
2017-09-23 00:00:00,,76
2017-09-24 00:00:00,,73
2017-09-26 00:00:00,,86
2017-09-27 00:00:00,,81
2017-09-29 00:00:00,,78
2017-09-30 00:00:00,,70
2017-10-01 00:00:00,,72
2017-10-02 00:00:00,,74
2017-10-03 00:00:00,,78
2017-10-04 00:00:00,,76
2017-10-06 00:00:00,,73
2017-10-07 00:00:00,,81
2017-10-08 00:00:00,,76
2017-10-09 00:00:00,,78
2017-10-10 00:00:00,,78
2017-10-11 00:00:00,,75
2017-10-13 00:00:00,,81
2017-10-14 00:00:00,,77
2017-10-15 00:00:00,,76
2017-10-16 00:00:00,,91
2017-10-18 00:00:00,,73
2017-10-19 00:00:00,,74
2017-10-21 00:00:00,,79
2017-10-22 00:00:00,,92
2017-10-23 00:00:00,,73
2017-10-27 00:00:00,,80
2017-10-28 00:00:00,,77
2017-10-29 00:00:00,,84
2017-10-30 00:00:00,,78
2017-11-01 00:00:00,,72
2017-11-02 00:00:00,,73
2017-11-03 00:00:00,,77
2017-11-05 00:00:00,,73
2017-11-06 00:00:00,,78
2017-11-07 00:00:00,,78
2017-11-09 00:00:00,,79
2017-11-10 00:00:00,,75
2017-11-12 00:00:00,,79
2017-11-13 00:00:00,,71
2017-11-14 00:00:00,,86
2017-11-15 00:00:00,,76
2017-11-17 00:00:00,,81
2017-11-18 00:00:00,,74
2017-11-19 00:00:00,,77
2017-11-20 00:00:00,,74
2017-11-21 00:00:00,,83
2017-11-23 00:00:00,,77
2017-11-24 00:00:00,,75
2017-11-26 00:00:00,,76
2017-11-27 00:00:00,,73
2017-11-29 00:00:00,,73
2017-12-01 00:00:00,,75
2017-12-03 00:00:00,,77
2017-12-04 00:00:00,,73
2017-12-06 00:00:00,,77
2017-12-07 00:00:00,,74
2017-12-08 00:00:00,,79
2017-12-09 00:00:00,,82
2017-12-11 00:00:00,,77
2017-12-12 00:00:00,,77
2017-12-13 00:00:00,,77
2017-12-14 00:00:00,,78
2017-12-15 00:00:00,,75
2017-12-17 00:00:00,,70
2017-12-18 00:00:00,,85
2017-12-19 00:00:00,,74
2017-12-20 00:00:00,,78
2017-12-21 00:00:00,,79
2017-12-22 00:00:00,,79
2017-12-24 00:00:00,,87
2017-12-25 00:00:00,,75
2017-12-27 00:00:00,,76
2017-12-28 00:00:00,,79
2017-12-29 00:00:00,,76
2017-12-31 00:00:00,,69
2018-01-01 00:00:00,,77
