date,Step Counts,Heart Rate
2016-04-28 00:00:00,,81
2016-04-29 00:00:00,,82
2016-04-30 00:00:00,,84
2016-05-01 00:00:00,,87
2016-05-02 00:00:00,,79
2016-05-03 00:00:00,,74
2016-05-04 00:00:00,,97
2016-05-05 00:00:00,7911,70
2016-05-06 00:00:00,3892,77
2016-05-07 00:00:00,4189,93
2016-05-09 00:00:00,5654,87
2016-05-10 00:00:00,7184,84
2016-05-11 00:00:00,8111,76
2016-05-13 00:00:00,4270,86
2016-05-14 00:00:00,6894,85
2016-05-15 00:00:00,7297,78
2016-05-16 00:00:00,9987,76
2016-05-17 00:00:00,10304,76
2016-05-18 00:00:00,6449,92
2016-05-20 00:00:00,,83
2016-05-21 00:00:00,10253,74
2016-05-22 00:00:00,10640,76
2016-05-23 00:00:00,10580,73
2016-05-24 00:00:00,8565,77
2016-05-26 00:00:00,2793,101
2016-05-27 00:00:00,8171,85
2016-05-28 00:00:00,7002,82
2016-05-30 00:00:00,7269,67
2016-05-31 00:00:00,8030,91
2016-06-01 00:00:00,4867,88
2016-06-02 00:00:00,6481,85
2016-06-03 00:00:00,6710,82
2016-06-04 00:00:00,7988,85
2016-06-05 00:00:00,5771,93
2016-06-06 00:00:00,5612,84
2016-06-07 00:00:00,7520,70
2016-06-08 00:00:00,8105,91
2016-06-10 00:00:00,5723,72
2016-06-12 00:00:00,11659,77
2016-06-14 00:00:00,4252,74
2016-06-15 00:00:00,10121,88
2016-06-16 00:00:00,7152,79
2016-06-17 00:00:00,6431,80
2016-06-18 00:00:00,6539,85
2016-06-19 00:00:00,4777,90
2016-06-22 00:00:00,2502,89
2016-06-23 00:00:00,,81
2016-06-25 00:00:00,,86
2016-06-27 00:00:00,,92
2016-06-28 00:00:00,,80
2016-06-29 00:00:00,,84
2016-06-30 00:00:00,,85
2016-07-02 00:00:00,,86
2016-07-03 00:00:00,,87
2016-07-04 00:00:00,,79
2016-07-06 00:00:00,,87
2016-07-08 00:00:00,,83
2016-07-09 00:00:00,,88
2016-07-10 00:00:00,,66
