date,Step Counts,Heart Rate
2018-01-09 00:00:00,,85
2018-01-10 00:00:00,,72
2018-01-11 00:00:00,,77
2018-01-12 00:00:00,,81
2018-01-13 00:00:00,,82
2018-01-14 00:00:00,,79
2018-01-15 00:00:00,,78
2018-01-16 00:00:00,,85
2018-01-17 00:00:00,,74
2018-01-20 00:00:00,,86
2018-01-21 00:00:00,,90
2018-01-22 00:00:00,,75
2018-01-23 00:00:00,,82
2018-01-26 00:00:00,,88
2018-01-27 00:00:00,,82
2018-01-28 00:00:00,,80
2018-01-29 00:00:00,,77
2018-02-02 00:00:00,,76
2018-02-04 00:00:00,,77
2018-02-05 00:00:00,,78
2018-02-06 00:00:00,,83
2018-02-07 00:00:00,,85
2018-02-08 00:00:00,,83
2018-02-09 00:00:00,,78
2018-02-10 00:00:00,,88
2018-02-11 00:00:00,,84
2018-02-12 00:00:00,,78
2018-02-15 00:00:00,,83
2018-04-23 00:00:00,,87
