date,Step Counts,Heart Rate
2016-01-01 00:00:00,7992,
2016-01-03 00:00:00,9774,
2016-01-05 00:00:00,7634,
2016-01-06 00:00:00,8617,
2016-01-07 00:00:00,7439,76
2016-01-08 00:00:00,7177,79
2016-01-09 00:00:00,7128,68
2016-01-10 00:00:00,7529,
2016-01-11 00:00:00,8015,
2016-01-12 00:00:00,7214,99
2016-01-13 00:00:00,8009,66
2016-01-14 00:00:00,6322,
2016-01-15 00:00:00,5346,69
2016-01-16 00:00:00,9337,
2016-01-17 00:00:00,7690,
2016-01-18 00:00:00,9435,
2016-01-19 00:00:00,9126,
2016-01-21 00:00:00,8319,67
2016-01-22 00:00:00,8147,
2016-01-23 00:00:00,10539,69
2016-01-24 00:00:00,5092,81
2016-01-25 00:00:00,8213,
2016-01-27 00:00:00,8876,
2016-01-28 00:00:00,7482,
2016-01-29 00:00:00,7928,
2016-01-30 00:00:00,7666,
2016-01-31 00:00:00,3796,
2016-02-02 00:00:00,6302,
2016-02-03 00:00:00,6786,
2016-02-04 00:00:00,7669,
2016-02-06 00:00:00,7462,
2016-02-07 00:00:00,15297,72
2016-02-08 00:00:00,4430,70
2016-02-09 00:00:00,8205,
2016-02-28 00:00:00,,71
2016-03-01 00:00:00,,72
2016-03-02 00:00:00,,75
2016-03-03 00:00:00,,73
2016-03-04 00:00:00,,68
2016-03-05 00:00:00,,70
2016-03-07 00:00:00,8174,67
2016-03-08 00:00:00,7763,74
2016-03-09 00:00:00,8706,70
2016-03-10 00:00:00,9057,76
2016-03-12 00:00:00,12077,74
2016-03-13 00:00:00,6861,72
2016-03-14 00:00:00,7735,76
2016-03-15 00:00:00,8102,79
2016-03-16 00:00:00,8293,79
2016-03-18 00:00:00,9469,77
2016-03-19 00:00:00,11790,77
2016-03-20 00:00:00,7832,77
2016-03-21 00:00:00,7602,81
2016-03-22 00:00:00,7098,76
2016-03-23 00:00:00,8233,74
2016-03-24 00:00:00,7238,72
2016-03-25 00:00:00,5158,82
2016-03-26 00:00:00,7703,78
2016-03-27 00:00:00,8897,77
2016-03-28 00:00:00,6098,76
2016-03-29 00:00:00,12430,82
2016-03-30 00:00:00,9217,77
2016-03-31 00:00:00,17449,72
2016-04-01 00:00:00,14535,79
2016-04-02 00:00:00,11248,78
2016-04-03 00:00:00,6359,73
2016-04-04 00:00:00,8671,78
2016-04-05 00:00:00,8726,77
2016-04-06 00:00:00,9151,78
2016-04-08 00:00:00,8057,75
2016-04-09 00:00:00,12264,72
2016-04-10 00:00:00,9129,78
2016-04-11 00:00:00,13715,69
2016-04-13 00:00:00,7954,75
2016-04-14 00:00:00,10748,74
2016-04-15 00:00:00,7272,72
2016-04-16 00:00:00,9914,75
2016-04-17 00:00:00,5767,75
2016-04-18 00:00:00,8352,72
2016-04-19 00:00:00,5843,75
2016-04-20 00:00:00,,75
2016-04-22 00:00:00,,77
2016-04-23 00:00:00,,77
2016-04-24 00:00:00,,74
2016-04-25 00:00:00,,77
2016-04-26 00:00:00,,75
2016-04-28 00:00:00,,78
2016-04-29 00:00:00,,76
2016-04-30 00:00:00,,81
2016-05-01 00:00:00,,72
2016-05-03 00:00:00,,76
2016-05-04 00:00:00,,74
2016-05-05 00:00:00,,73
2016-05-06 00:00:00,,75
2016-05-07 00:00:00,,76
2016-05-08 00:00:00,,74
2016-05-10 00:00:00,,76
2016-05-11 00:00:00,,81
2016-05-12 00:00:00,,79
2016-05-13 00:00:00,,73
2016-05-14 00:00:00,,72
2016-05-16 00:00:00,,73
2016-05-17 00:00:00,,74
