date,Step Counts,Heart Rate
2015-12-29 00:00:00,5425,
2015-12-31 00:00:00,7099,
2016-01-01 00:00:00,307,
2016-01-02 00:00:00,375,
2016-01-04 00:00:00,214,
2016-01-05 00:00:00,4755,
2016-01-06 00:00:00,5399,
2016-01-07 00:00:00,4729,
2016-01-09 00:00:00,4054,
2016-01-10 00:00:00,1056,
2016-01-11 00:00:00,4812,
2016-01-12 00:00:00,6187,
2016-01-13 00:00:00,9239,
2016-01-15 00:00:00,10244,
2016-01-16 00:00:00,1927,
2016-01-17 00:00:00,3707,
2016-01-18 00:00:00,6249,
2016-01-20 00:00:00,4486,
2016-01-21 00:00:00,5296,
2016-01-22 00:00:00,4239,
2016-01-23 00:00:00,983,
2016-01-24 00:00:00,5786,
