date,Step Counts,Heart Rate
2016-05-31 00:00:00,16434,68
2016-06-01 00:00:00,14884,72
2016-06-02 00:00:00,18378,77
2016-06-03 00:00:00,12838,
2016-06-04 00:00:00,13906,88
2016-06-05 00:00:00,7600,70
2016-06-06 00:00:00,10571,73
2016-06-07 00:00:00,9442,
2016-06-08 00:00:00,12439,
2016-06-11 00:00:00,8387,
2016-06-12 00:00:00,3413,
2016-06-13 00:00:00,8827,
2016-06-15 00:00:00,8832,
2016-06-16 00:00:00,11193,
2016-06-17 00:00:00,7007,
2016-06-18 00:00:00,3533,
2016-06-19 00:00:00,2483,79
2016-06-20 00:00:00,12393,78
2016-06-22 00:00:00,13630,
2016-06-23 00:00:00,100,
2016-06-24 00:00:00,12146,
2016-06-25 00:00:00,18373,
2016-06-26 00:00:00,13678,
2016-06-27 00:00:00,4561,
