date,Step Counts,Heart Rate
2017-10-12 00:00:00,,73
2017-10-13 00:00:00,,82
2017-10-14 00:00:00,,93
2017-10-15 00:00:00,,77
2017-10-17 00:00:00,,73
2017-10-18 00:00:00,,73
2017-10-19 00:00:00,,78
2017-10-20 00:00:00,,74
2017-10-21 00:00:00,,107
2017-10-22 00:00:00,,77
2017-10-23 00:00:00,,70
2017-10-24 00:00:00,,78
2017-10-25 00:00:00,,69
2017-10-26 00:00:00,,83
2017-10-27 00:00:00,,83
2017-10-28 00:00:00,,52
2017-10-29 00:00:00,,93
2017-10-30 00:00:00,,76
2017-10-31 00:00:00,,68
2017-11-01 00:00:00,,77
2017-11-02 00:00:00,,79
2017-11-03 00:00:00,,77
2017-11-04 00:00:00,,72
2017-11-05 00:00:00,,71
2017-11-07 00:00:00,,77
2017-11-08 00:00:00,,88
2017-11-09 00:00:00,,98
