date,Step Counts,Heart Rate
2016-03-17 00:00:00,,83
2016-03-18 00:00:00,,92
2016-03-19 00:00:00,,79
2016-03-20 00:00:00,,80
2016-03-21 00:00:00,,88
2016-03-22 00:00:00,,88
2016-03-24 00:00:00,,88
2016-03-25 00:00:00,,84
2016-03-26 00:00:00,,87
2016-03-27 00:00:00,,83
2016-04-04 00:00:00,,84
2016-04-16 00:00:00,,100
2016-04-17 00:00:00,,110
2016-04-21 00:00:00,,81
2016-04-22 00:00:00,,83
2016-04-25 00:00:00,,86
2016-04-30 00:00:00,,93
2016-05-01 00:00:00,,98
2016-05-02 00:00:00,,86
2016-05-03 00:00:00,,92
2016-05-04 00:00:00,,83
2016-05-06 00:00:00,,85
2016-05-16 00:00:00,,77
2016-05-19 00:00:00,,83
2016-05-25 00:00:00,,77
2016-05-26 00:00:00,,85
2016-05-27 00:00:00,,77
2016-05-28 00:00:00,,85
2016-06-02 00:00:00,,89
2016-06-03 00:00:00,,75
2016-06-05 00:00:00,,80
2016-06-08 00:00:00,,76
2016-06-09 00:00:00,,81
2016-06-10 00:00:00,,75
2016-06-11 00:00:00,,81
2016-06-13 00:00:00,,89
2016-06-14 00:00:00,,74
