date,Step Counts,Heart Rate
2015-12-29 00:00:00,9764,78
2015-12-30 00:00:00,10048,
2015-12-31 00:00:00,12679,
2016-01-01 00:00:00,2608,
2016-01-02 00:00:00,8514,
2016-01-03 00:00:00,5653,
2016-01-04 00:00:00,12362,
2016-01-05 00:00:00,6521,
2016-01-06 00:00:00,12449,
2016-01-07 00:00:00,9518,
2016-01-08 00:00:00,9707,
2016-01-09 00:00:00,10554,
2016-01-10 00:00:00,3719,
2016-01-11 00:00:00,5511,
2016-01-13 00:00:00,10446,
2016-01-14 00:00:00,9494,
2016-01-15 00:00:00,10349,
2016-01-16 00:00:00,7652,
2016-01-17 00:00:00,4071,
2016-01-18 00:00:00,10760,
2016-01-19 00:00:00,4302,
2016-01-20 00:00:00,4064,
2016-01-21 00:00:00,7510,
2016-01-22 00:00:00,10207,64
2016-01-23 00:00:00,7161,
2016-01-25 00:00:00,8110,71
2016-01-26 00:00:00,9839,79
2016-01-27 00:00:00,5140,
2016-01-28 00:00:00,11531,71
2016-01-29 00:00:00,9215,
2016-01-30 00:00:00,7348,
2016-01-31 00:00:00,4026,
2016-02-01 00:00:00,14638,55
2016-02-03 00:00:00,12624,
2016-02-05 00:00:00,14100,
2016-02-06 00:00:00,7357,
2016-02-07 00:00:00,5142,
2016-02-08 00:00:00,8250,
2016-02-22 00:00:00,9041,76
2016-02-24 00:00:00,9113,
2016-03-02 00:00:00,12816,60
2016-03-03 00:00:00,10060,58
