date,Step Counts,Heart Rate
2016-04-15 00:00:00,,78
2016-04-16 00:00:00,,76
2016-04-17 00:00:00,,86
2016-04-18 00:00:00,,75
2016-04-19 00:00:00,,79
2016-04-20 00:00:00,,80
2016-04-21 00:00:00,,81
2016-04-23 00:00:00,,81
2016-04-25 00:00:00,,66
2016-04-26 00:00:00,,80
2016-04-28 00:00:00,,69
2016-04-29 00:00:00,,73
2016-04-30 00:00:00,,70
2016-05-01 00:00:00,,66
2016-05-02 00:00:00,,87
2016-05-04 00:00:00,,72
2016-05-05 00:00:00,,77
2016-05-06 00:00:00,,76
2016-05-07 00:00:00,,73
2016-05-08 00:00:00,,85
2016-05-09 00:00:00,,65
2016-05-10 00:00:00,,95
2016-05-12 00:00:00,,81
2016-05-13 00:00:00,,68
2016-05-14 00:00:00,,83
2016-05-15 00:00:00,,81
2016-05-16 00:00:00,,94
