date,Step Counts,Heart Rate
2017-04-16 00:00:00,,67
2017-04-18 00:00:00,,83
2017-04-19 00:00:00,,79
2017-04-20 00:00:00,,85
2017-04-21 00:00:00,,74
2017-04-23 00:00:00,,85
2017-04-24 00:00:00,,84
2017-04-25 00:00:00,,92
2017-04-26 00:00:00,,92
2017-04-28 00:00:00,,76
2017-04-30 00:00:00,,84
2017-05-03 00:00:00,,76
2017-05-04 00:00:00,,82
2017-05-05 00:00:00,,78
2017-05-07 00:00:00,,70
2017-05-08 00:00:00,,81
2017-05-09 00:00:00,,71
2017-05-10 00:00:00,,87
2017-05-11 00:00:00,,81
2017-05-12 00:00:00,,79
2017-05-13 00:00:00,,83
2017-05-14 00:00:00,,81
2017-05-15 00:00:00,,87
2017-05-16 00:00:00,,89
2017-05-17 00:00:00,,88
2017-05-18 00:00:00,,78
2017-05-22 00:00:00,,79
2017-05-23 00:00:00,,79
2017-05-24 00:00:00,,75
2017-05-25 00:00:00,,82
2017-05-26 00:00:00,,83
2017-05-27 00:00:00,,73
2017-05-28 00:00:00,,79
2017-05-29 00:00:00,,88
2017-05-30 00:00:00,,95
2017-05-31 00:00:00,,87
2017-06-02 00:00:00,,84
2017-06-04 00:00:00,,81
2017-06-05 00:00:00,,74
2017-06-06 00:00:00,,78
2017-06-07 00:00:00,,78
2017-06-09 00:00:00,,85
2017-06-10 00:00:00,,62
2017-06-11 00:00:00,,61
2017-06-12 00:00:00,,89
2017-06-13 00:00:00,,75
2017-06-14 00:00:00,,78
2017-06-15 00:00:00,,82
2017-06-16 00:00:00,,105
2017-06-18 00:00:00,,65
2017-06-19 00:00:00,,91
2017-06-21 00:00:00,,80
2017-06-22 00:00:00,,86
2017-06-24 00:00:00,,75
2017-06-25 00:00:00,,67
2017-06-26 00:00:00,,85
2017-06-27 00:00:00,,87
