date,Step Counts,Heart Rate
2016-05-05 00:00:00,1401,94
2016-05-06 00:00:00,5579,85
2016-05-07 00:00:00,746,84
2016-05-08 00:00:00,4261,77
2016-05-09 00:00:00,5353,84
2016-05-10 00:00:00,3595,81
2016-05-11 00:00:00,3329,85
2016-05-12 00:00:00,4820,81
2016-05-13 00:00:00,3977,86
2016-05-14 00:00:00,4562,87
2016-05-15 00:00:00,3457,85
2016-05-16 00:00:00,24536,84
2016-05-17 00:00:00,24855,85
2016-05-18 00:00:00,21005,84
2016-05-19 00:00:00,25229,86
2016-05-20 00:00:00,1727,83
2016-05-22 00:00:00,1675,84
2016-05-23 00:00:00,4678,83
2016-05-24 00:00:00,3622,94
