date,Step Counts,Heart Rate
2016-01-06 00:00:00,965,118
2016-01-08 00:00:00,1334,104
2016-01-09 00:00:00,11918,112
2016-01-10 00:00:00,11449,111
2016-01-11 00:00:00,5700,91
2016-01-12 00:00:00,10629,106
2016-01-13 00:00:00,2408,112
2016-01-14 00:00:00,11012,101
2016-01-15 00:00:00,5246,113
2016-01-16 00:00:00,11394,88
2016-01-17 00:00:00,11277,112
2016-01-19 00:00:00,1014,109
2016-01-20 00:00:00,669,108
2016-01-21 00:00:00,8248,92
2016-01-22 00:00:00,11641,102
2016-01-23 00:00:00,2526,106
2016-01-24 00:00:00,5185,106
2016-01-25 00:00:00,11839,102
2016-01-26 00:00:00,10815,115
