date,Step Counts,Heart Rate
2016-01-13 00:00:00,2728,81
2016-01-15 00:00:00,3205,73
2016-01-17 00:00:00,4120,70
2016-01-18 00:00:00,2204,67
2016-01-19 00:00:00,4320,64
2016-01-20 00:00:00,3087,70
2016-01-23 00:00:00,5539,67
2016-01-24 00:00:00,2396,58
2016-01-25 00:00:00,3952,72
2016-01-26 00:00:00,3723,61
2016-01-27 00:00:00,4784,63
2016-01-28 00:00:00,1813,64
2016-01-29 00:00:00,4599,65
2016-01-31 00:00:00,6613,
2016-02-01 00:00:00,1980,
2016-02-02 00:00:00,4397,
2016-02-03 00:00:00,5942,
2016-02-04 00:00:00,3593,
2016-02-08 00:00:00,4119,68
2016-02-09 00:00:00,2811,62
2016-02-10 00:00:00,5767,
2016-02-11 00:00:00,6855,
2016-02-13 00:00:00,3180,62
2016-02-14 00:00:00,3258,64
2016-02-16 00:00:00,5292,69
2016-02-17 00:00:00,4068,76
2016-02-18 00:00:00,2795,72
2016-02-19 00:00:00,6440,77
2016-02-20 00:00:00,1315,62
2016-02-21 00:00:00,3566,64
2016-02-24 00:00:00,8783,76
2016-02-25 00:00:00,2947,63
2016-02-26 00:00:00,5369,68
2016-02-27 00:00:00,5153,70
2016-02-28 00:00:00,4624,71
2016-02-29 00:00:00,5908,73
2016-03-02 00:00:00,3631,65
2016-03-04 00:00:00,7194,
2016-03-05 00:00:00,5855,
2016-03-06 00:00:00,4501,
2016-03-07 00:00:00,2583,
2016-03-08 00:00:00,5835,
2016-03-09 00:00:00,5156,
2016-03-10 00:00:00,3516,61
2016-03-11 00:00:00,5261,75
2016-03-12 00:00:00,4016,72
2016-03-13 00:00:00,5921,72
2016-03-14 00:00:00,5679,74
2016-03-16 00:00:00,4453,74
2016-03-17 00:00:00,3989,65
2016-03-18 00:00:00,5256,70
2016-03-21 00:00:00,9618,81
2016-03-24 00:00:00,4493,
2016-03-25 00:00:00,5211,
2016-03-26 00:00:00,4074,
2016-03-27 00:00:00,3774,
2016-03-28 00:00:00,6156,103
2016-03-29 00:00:00,2702,
2016-03-30 00:00:00,3196,
2016-04-01 00:00:00,4884,
2016-04-02 00:00:00,5473,
2016-04-03 00:00:00,5494,
2016-04-04 00:00:00,3845,144
2016-04-06 00:00:00,7758,75
2016-04-07 00:00:00,4012,72
2016-04-08 00:00:00,3002,68
2016-04-09 00:00:00,3369,66
2016-04-10 00:00:00,5631,91
2016-04-19 00:00:00,5011,79
2016-04-20 00:00:00,6638,71
2016-04-21 00:00:00,3279,68
2016-04-22 00:00:00,3534,70
2016-04-24 00:00:00,4839,
2016-04-26 00:00:00,4698,
2016-04-27 00:00:00,5066,
2016-05-03 00:00:00,4904,
2016-05-04 00:00:00,4825,
2016-05-08 00:00:00,8445,
2016-05-09 00:00:00,3829,
2016-05-10 00:00:00,10249,
2016-05-11 00:00:00,5152,
2016-05-12 00:00:00,4351,
2016-05-14 00:00:00,3043,
2016-05-15 00:00:00,5051,
2016-05-16 00:00:00,2917,
2016-05-17 00:00:00,5982,
2016-05-18 00:00:00,5189,
2016-05-19 00:00:00,5817,
2016-05-21 00:00:00,5762,89
2016-05-22 00:00:00,8243,79
2016-05-23 00:00:00,4918,67
2016-05-24 00:00:00,6242,67
2016-05-25 00:00:00,5653,65
2016-05-26 00:00:00,4921,72
2016-05-27 00:00:00,7403,88
2016-05-28 00:00:00,12411,74
2016-05-30 00:00:00,4400,76
2016-05-31 00:00:00,9025,73
2016-06-01 00:00:00,4114,74
2016-06-02 00:00:00,6573,74
2016-06-04 00:00:00,3565,73
2016-06-05 00:00:00,8727,77
2016-06-06 00:00:00,6417,73
2016-06-07 00:00:00,5846,73
2016-06-09 00:00:00,4961,69
2016-06-10 00:00:00,6745,77
2016-06-11 00:00:00,9395,83
2016-06-12 00:00:00,2832,69
2016-06-13 00:00:00,8960,68
2016-06-14 00:00:00,5756,73
2016-06-15 00:00:00,5617,75
2016-06-16 00:00:00,5596,66
2016-06-17 00:00:00,2570,61
2016-06-18 00:00:00,4452,69
2016-06-19 00:00:00,6053,65
2016-06-22 00:00:00,,68
2016-06-23 00:00:00,,75
2016-06-25 00:00:00,,73
2016-06-26 00:00:00,,63
2016-06-28 00:00:00,,70
2016-06-29 00:00:00,,70
2016-07-01 00:00:00,,73
2016-07-02 00:00:00,,76
2016-07-03 00:00:00,,66
2016-07-04 00:00:00,,75
2016-07-05 00:00:00,,73
2016-07-06 00:00:00,,78
2016-07-07 00:00:00,,68
2016-07-08 00:00:00,,70
2016-07-09 00:00:00,,61
