date,Step Counts,Heart Rate
2018-06-06 00:00:00,,92
2018-06-08 00:00:00,,82
2018-06-09 00:00:00,,91
2018-06-10 00:00:00,,94
2018-06-11 00:00:00,,94
2018-06-14 00:00:00,,80
2018-06-15 00:00:00,,85
2018-06-16 00:00:00,,95
2018-06-17 00:00:00,,107
2018-06-18 00:00:00,,92
2018-06-21 00:00:00,,88
2018-06-23 00:00:00,,88
2018-06-26 00:00:00,,76
2018-07-03 00:00:00,,98
2018-07-04 00:00:00,,91
2018-07-07 00:00:00,,88
2018-07-08 00:00:00,,94
2018-07-10 00:00:00,,95
2018-07-11 00:00:00,,87
2018-07-12 00:00:00,,88
2018-07-16 00:00:00,,86
2018-07-17 00:00:00,,96
2018-07-18 00:00:00,,94
2018-07-19 00:00:00,,86
2018-07-22 00:00:00,,91
2018-07-23 00:00:00,,86
2018-07-24 00:00:00,,86
2018-07-25 00:00:00,,82
2018-07-26 00:00:00,,94
2018-07-27 00:00:00,,91
2018-07-28 00:00:00,,93
