date,Step Counts,Heart Rate
2016-01-23 00:00:00,9379,99
2016-01-24 00:00:00,12303,102
2016-01-25 00:00:00,13179,128
2016-01-27 00:00:00,13208,80
2016-01-28 00:00:00,4319,108
2016-01-29 00:00:00,6430,111
2016-01-30 00:00:00,12526,95
2016-01-31 00:00:00,13272,104
2016-02-01 00:00:00,16556,106
2016-02-03 00:00:00,11093,89
2016-02-04 00:00:00,4720,79
2016-02-05 00:00:00,8211,100
2016-02-06 00:00:00,8512,67
2016-02-07 00:00:00,8576,93
2016-02-08 00:00:00,13577,134
2016-02-09 00:00:00,12536,
2016-02-10 00:00:00,7458,
2016-02-11 00:00:00,8259,
2016-02-12 00:00:00,7241,
2016-02-13 00:00:00,14568,
2016-02-14 00:00:00,9265,
2016-02-15 00:00:00,7554,
2016-02-16 00:00:00,1814,
2016-02-17 00:00:00,8080,
