date,Step Counts,Heart Rate
2017-03-19 00:00:00,,85
2017-03-20 00:00:00,,79
2017-03-21 00:00:00,,84
2017-03-22 00:00:00,,79
2017-03-23 00:00:00,,75
2017-03-24 00:00:00,,72
2017-03-25 00:00:00,,83
2017-03-26 00:00:00,,83
2017-03-28 00:00:00,,78
2017-03-29 00:00:00,,78
2017-03-30 00:00:00,,78
2017-03-31 00:00:00,,89
2017-04-01 00:00:00,,84
2017-04-02 00:00:00,,77
2017-04-03 00:00:00,,77
2017-04-04 00:00:00,,79
2017-04-05 00:00:00,,74
2017-04-06 00:00:00,,82
2017-04-07 00:00:00,,73
2017-04-08 00:00:00,,82
2017-04-09 00:00:00,,77
2017-04-10 00:00:00,,79
2017-04-11 00:00:00,,79
2017-04-12 00:00:00,,79
2017-04-13 00:00:00,,85
2017-04-14 00:00:00,,82
2017-04-15 00:00:00,,79
2017-04-16 00:00:00,,81
2017-04-17 00:00:00,,79
2017-04-18 00:00:00,,82
2017-04-19 00:00:00,,84
2017-04-20 00:00:00,,77
2017-04-22 00:00:00,,73
2017-04-23 00:00:00,,86
2017-04-24 00:00:00,,75
2017-04-25 00:00:00,,80
2017-04-26 00:00:00,,75
2017-04-27 00:00:00,,73
2017-04-28 00:00:00,,81
2017-04-30 00:00:00,,79
2017-05-01 00:00:00,,81
2017-05-02 00:00:00,,79
2017-05-03 00:00:00,,70
2017-05-04 00:00:00,,80
2017-05-05 00:00:00,,73
2017-05-06 00:00:00,,71
2017-05-07 00:00:00,,87
2017-05-08 00:00:00,,73
