date,Step Counts,Heart Rate
2016-04-23 00:00:00,9133,69
2016-04-25 00:00:00,6506,77
2016-04-26 00:00:00,15395,80
2016-04-27 00:00:00,9550,61
2016-04-28 00:00:00,14758,75
2016-04-30 00:00:00,10907,71
2016-05-03 00:00:00,6632,88
2016-05-04 00:00:00,5256,59
2016-05-06 00:00:00,11814,90
2016-05-07 00:00:00,2000,100
2016-05-08 00:00:00,10506,73
2016-05-09 00:00:00,17243,80
2016-05-10 00:00:00,6342,74
2016-05-11 00:00:00,7926,97
2016-05-12 00:00:00,8033,105
2016-05-13 00:00:00,5886,113
2016-05-15 00:00:00,,85
2016-05-16 00:00:00,13732,73
2016-05-17 00:00:00,17787,69
2016-05-20 00:00:00,,78
2016-05-22 00:00:00,2217,74
2016-05-23 00:00:00,7821,76
2016-05-25 00:00:00,4301,97
2016-05-27 00:00:00,7671,77
2016-05-28 00:00:00,8247,76
2016-05-29 00:00:00,8893,91
2016-05-31 00:00:00,8562,67
2016-06-01 00:00:00,1047,93
2016-06-02 00:00:00,2629,62
2016-06-03 00:00:00,5499,79
2016-06-04 00:00:00,3483,62
2016-06-05 00:00:00,3905,77
