date,Step Counts,Heart Rate
2017-07-29 00:00:00,12357,79
2017-07-30 00:00:00,6623,80
2017-07-31 00:00:00,13896,79
2017-08-01 00:00:00,4208,79
2017-08-02 00:00:00,106,73
2017-08-04 00:00:00,28742,81
2017-08-05 00:00:00,21427,85
2017-08-06 00:00:00,8735,82
2017-08-08 00:00:00,17295,79
2017-08-10 00:00:00,17826,80
2017-08-11 00:00:00,19626,79
2017-08-12 00:00:00,10652,79
2017-08-13 00:00:00,10299,79
2017-08-15 00:00:00,19030,83
2017-08-16 00:00:00,16585,76
2017-08-17 00:00:00,25477,76
2017-08-18 00:00:00,17211,80
2017-08-20 00:00:00,14422,86
2017-08-21 00:00:00,23371,87
2017-08-22 00:00:00,14962,75
2017-08-24 00:00:00,24351,86
2017-08-25 00:00:00,13669,82
2017-08-26 00:00:00,322,77
2017-08-28 00:00:00,24754,82
2017-08-29 00:00:00,9466,81
2017-08-30 00:00:00,16733,83
2017-08-31 00:00:00,11271,75
2017-09-01 00:00:00,20176,81
2017-09-02 00:00:00,12811,82
2017-09-03 00:00:00,13381,77
2017-09-04 00:00:00,8135,78
2017-09-05 00:00:00,15210,79
2017-09-06 00:00:00,3259,82
2017-09-08 00:00:00,6378,77
2017-09-10 00:00:00,18722,80
2017-09-11 00:00:00,10041,77
2017-09-12 00:00:00,17405,83
2017-09-13 00:00:00,10668,80
2017-09-15 00:00:00,4820,79
2017-09-16 00:00:00,8698,81
2017-09-17 00:00:00,7936,77
2017-09-18 00:00:00,16697,75
2017-09-19 00:00:00,11083,76
2017-09-20 00:00:00,10117,77
2017-09-21 00:00:00,15382,84
2017-09-22 00:00:00,10017,78
2017-09-23 00:00:00,15112,78
2017-09-25 00:00:00,11934,83
2017-09-26 00:00:00,16706,80
2017-09-27 00:00:00,17967,80
2017-09-28 00:00:00,12240,69
2017-09-29 00:00:00,3278,75
2017-09-30 00:00:00,3716,77
2017-10-01 00:00:00,8533,72
2017-10-02 00:00:00,16277,84
2017-10-03 00:00:00,9709,77
2017-10-04 00:00:00,9053,76
2017-10-06 00:00:00,12369,74
2017-10-08 00:00:00,8792,79
2017-10-09 00:00:00,10259,80
2017-10-10 00:00:00,8449,81
2017-10-13 00:00:00,7708,79
2017-10-14 00:00:00,14032,83
2017-10-17 00:00:00,10923,84
2017-10-18 00:00:00,11649,74
2017-10-19 00:00:00,11339,79
2017-10-20 00:00:00,7784,83
2017-10-22 00:00:00,11689,80
2017-10-23 00:00:00,14353,80
2017-10-24 00:00:00,5804,72
2017-10-26 00:00:00,7163,80
2017-10-27 00:00:00,5922,74
2017-10-29 00:00:00,10925,88
2017-10-30 00:00:00,10591,77
2017-11-01 00:00:00,10634,75
2017-11-02 00:00:00,7070,77
2017-11-03 00:00:00,8289,75
2017-11-05 00:00:00,11351,82
2017-11-06 00:00:00,66,77
2017-11-08 00:00:00,13584,75
2017-11-09 00:00:00,8124,83
2017-11-10 00:00:00,5614,80
2017-11-11 00:00:00,15193,77
2017-11-14 00:00:00,14777,84
2017-11-15 00:00:00,12495,82
