date,Step Counts,Heart Rate
2016-03-25 00:00:00,,59
2016-03-26 00:00:00,6701,76
2016-03-27 00:00:00,11,64
2016-03-28 00:00:00,7570,82
2016-03-30 00:00:00,5301,75
2016-04-01 00:00:00,7002,77
2016-04-02 00:00:00,5187,81
2016-04-03 00:00:00,6675,77
2016-04-04 00:00:00,905,77
2016-04-05 00:00:00,6015,68
2016-04-06 00:00:00,3681,68
2016-04-07 00:00:00,2938,69
2016-04-09 00:00:00,185,69
2016-04-10 00:00:00,4441,76
2016-04-12 00:00:00,465,77
2016-04-13 00:00:00,2256,89
2016-04-14 00:00:00,5815,73
2016-04-15 00:00:00,4143,93
2016-04-17 00:00:00,4750,94
2016-04-18 00:00:00,2454,71
2016-04-19 00:00:00,3260,85
2016-04-21 00:00:00,4039,81
2016-04-23 00:00:00,22,69
2016-04-24 00:00:00,7875,74
2016-04-25 00:00:00,5369,76
2016-04-26 00:00:00,1564,71
2016-04-27 00:00:00,108,63
2016-04-29 00:00:00,6703,94
2016-04-30 00:00:00,245,61
2016-05-01 00:00:00,4525,71
2016-05-03 00:00:00,4514,82
2016-05-04 00:00:00,2554,94
2016-05-05 00:00:00,4813,83
2016-05-06 00:00:00,92,63
2016-05-08 00:00:00,5233,90
2016-05-11 00:00:00,7644,77
2016-05-13 00:00:00,4513,69
2016-05-14 00:00:00,5534,76
2016-05-15 00:00:00,4947,85
2016-05-16 00:00:00,5049,82
2016-05-17 00:00:00,8506,82
2016-05-18 00:00:00,21517,89
