date,Step Counts,Heart Rate
2016-03-31 00:00:00,,81
2016-04-02 00:00:00,,99
2016-04-04 00:00:00,,71
2016-04-05 00:00:00,,65
2016-04-06 00:00:00,,81
2016-04-07 00:00:00,,83
2016-04-08 00:00:00,,72
2016-04-10 00:00:00,,80
2016-04-11 00:00:00,,66
2016-04-13 00:00:00,,75
2016-04-17 00:00:00,1199,
2016-04-18 00:00:00,3172,108
2016-04-20 00:00:00,,82
2016-04-21 00:00:00,,50
2016-04-22 00:00:00,,79
2016-04-25 00:00:00,,68
2016-04-26 00:00:00,5186,65
2016-04-27 00:00:00,7839,78
2016-04-28 00:00:00,10189,91
2016-04-29 00:00:00,7315,84
2016-04-30 00:00:00,2418,72
2016-05-01 00:00:00,1931,
2016-05-02 00:00:00,4483,88
2016-05-03 00:00:00,5990,
2016-05-04 00:00:00,2841,68
2016-05-05 00:00:00,521,
2016-05-06 00:00:00,5534,99
2016-05-07 00:00:00,71,
2016-05-08 00:00:00,7033,75
2016-05-09 00:00:00,9783,76
2016-05-10 00:00:00,203,
2016-05-11 00:00:00,4516,74
2016-05-12 00:00:00,4679,65
2016-05-13 00:00:00,,74
2016-05-14 00:00:00,,75
2016-05-16 00:00:00,2307,78
2016-05-17 00:00:00,33,80
2016-05-18 00:00:00,537,63
2016-05-24 00:00:00,1966,76
2016-05-25 00:00:00,5376,85
2016-05-27 00:00:00,3808,59
2016-05-28 00:00:00,8398,84
2016-05-29 00:00:00,206,
2016-05-30 00:00:00,5734,84
2016-05-31 00:00:00,5227,111
2016-06-01 00:00:00,8907,91
2016-06-03 00:00:00,916,
2016-06-04 00:00:00,6368,67
2016-06-05 00:00:00,6976,88
2016-06-06 00:00:00,6766,85
2016-06-07 00:00:00,3181,70
2016-06-08 00:00:00,3979,61
2016-06-09 00:00:00,2813,48
2016-06-10 00:00:00,5219,74
2016-06-12 00:00:00,582,
2016-06-13 00:00:00,5335,83
2016-06-14 00:00:00,7986,86
2016-06-15 00:00:00,9711,82
2016-06-17 00:00:00,8539,77
2016-06-18 00:00:00,3484,76
2016-06-19 00:00:00,9423,77
2016-06-20 00:00:00,54,
2016-06-21 00:00:00,6307,85
2016-06-22 00:00:00,2928,75
2016-06-24 00:00:00,,91
2016-06-25 00:00:00,,75
2016-06-27 00:00:00,,79
2016-06-28 00:00:00,,75
2016-06-30 00:00:00,,80
2016-07-02 00:00:00,,79
2016-07-03 00:00:00,,85
2016-07-04 00:00:00,6088,81
2016-07-05 00:00:00,,75
2016-07-06 00:00:00,,75
2016-07-07 00:00:00,5527,73
2016-07-08 00:00:00,4562,88
2016-07-09 00:00:00,,68
2016-07-13 00:00:00,,74
2016-07-18 00:00:00,6070,79
2016-07-19 00:00:00,,113
2016-07-20 00:00:00,,80
2016-07-21 00:00:00,,76
2016-07-25 00:00:00,,73
2016-07-27 00:00:00,,70
2016-09-29 00:00:00,15,80
2016-09-30 00:00:00,1218,66
2016-10-01 00:00:00,5455,79
2016-10-02 00:00:00,36759,
2016-10-09 00:00:00,13,58
2016-10-11 00:00:00,8553,74
2016-10-12 00:00:00,3253,75
2016-10-13 00:00:00,4039,71
2016-10-15 00:00:00,,75
2016-10-16 00:00:00,,81
2016-10-20 00:00:00,,85
