date,Step Counts,Heart Rate
2015-12-29 00:00:00,5398,
2015-12-31 00:00:00,4512,
2016-01-01 00:00:00,331,
2016-01-04 00:00:00,2181,
2016-01-05 00:00:00,1050,
2016-01-06 00:00:00,4857,
2016-01-07 00:00:00,2531,
2016-01-08 00:00:00,5252,
2016-01-09 00:00:00,66,
2016-01-10 00:00:00,1363,
2016-01-11 00:00:00,2808,
2016-01-12 00:00:00,2249,
2016-01-13 00:00:00,2218,
2016-01-14 00:00:00,3845,
2016-01-15 00:00:00,5569,
2016-01-16 00:00:00,1702,
2016-01-17 00:00:00,6421,
2016-01-18 00:00:00,6678,
2016-01-19 00:00:00,3130,
2016-01-20 00:00:00,4913,
2016-01-21 00:00:00,4836,
2016-01-22 00:00:00,3604,
2016-01-23 00:00:00,7162,
2016-01-25 00:00:00,3756,
2016-01-26 00:00:00,6560,
2016-01-28 00:00:00,7072,
2016-01-29 00:00:00,4322,
2016-01-30 00:00:00,1541,
2016-02-01 00:00:00,255,
2016-02-04 00:00:00,5205,
