date,Step Counts,Heart Rate
2016-10-29 00:00:00,,78
2016-10-30 00:00:00,,73
2016-10-31 00:00:00,,75
2016-11-01 00:00:00,,74
2016-11-03 00:00:00,,70
2016-11-04 00:00:00,,72
2016-11-06 00:00:00,,76
2016-11-07 00:00:00,,77
2016-11-08 00:00:00,,77
2016-11-09 00:00:00,,76
2016-11-10 00:00:00,,74
2016-11-11 00:00:00,,73
2016-11-13 00:00:00,,75
2016-11-14 00:00:00,,81
2016-11-15 00:00:00,,71
2016-11-16 00:00:00,,71
2016-11-18 00:00:00,,74
2016-11-19 00:00:00,,78
2016-11-22 00:00:00,,71
2016-11-23 00:00:00,,74
2016-11-24 00:00:00,,77
2016-11-26 00:00:00,,74
2016-11-27 00:00:00,,73
2016-11-29 00:00:00,,71
2016-12-01 00:00:00,,70
2016-12-02 00:00:00,,68
2016-12-05 00:00:00,,72
2016-12-07 00:00:00,,71
2016-12-08 00:00:00,,70
2016-12-09 00:00:00,,69
2016-12-10 00:00:00,,81
2016-12-11 00:00:00,,69
2016-12-13 00:00:00,,71
2016-12-14 00:00:00,,70
2016-12-16 00:00:00,,67
2016-12-19 00:00:00,,76
2016-12-20 00:00:00,,71
2016-12-22 00:00:00,,69
2016-12-23 00:00:00,,70
2016-12-27 00:00:00,,73
2016-12-28 00:00:00,,75
2016-12-31 00:00:00,,73
2017-01-01 00:00:00,,74
2017-01-03 00:00:00,,68
2017-01-04 00:00:00,,75
2017-01-05 00:00:00,,74
2017-01-06 00:00:00,,79
2017-01-09 00:00:00,,69
2017-01-11 00:00:00,,67
2017-01-12 00:00:00,,67
2017-01-13 00:00:00,,69
2017-01-15 00:00:00,,72
2017-01-16 00:00:00,,68
2017-01-17 00:00:00,,67
2017-01-18 00:00:00,,69
2017-01-19 00:00:00,,70
2017-01-21 00:00:00,,72
2017-01-22 00:00:00,,70
2017-01-23 00:00:00,,74
2017-01-24 00:00:00,,69
2017-01-25 00:00:00,,76
