date,Step Counts,Heart Rate
2016-01-07 00:00:00,5766,
2016-01-09 00:00:00,7230,
2016-01-10 00:00:00,8463,
2016-01-11 00:00:00,5318,
2016-01-12 00:00:00,6565,
2016-01-13 00:00:00,6498,
2016-01-14 00:00:00,5154,
2016-01-15 00:00:00,7033,
2016-01-16 00:00:00,8236,
2016-01-17 00:00:00,419,
2016-01-18 00:00:00,5758,
2016-01-19 00:00:00,5123,
2016-01-20 00:00:00,6971,
2016-01-21 00:00:00,7226,
2016-01-22 00:00:00,3529,
2016-01-23 00:00:00,6682,
2016-01-24 00:00:00,5,
2016-01-25 00:00:00,4696,
2016-01-26 00:00:00,1964,
2016-01-27 00:00:00,4888,
2016-01-28 00:00:00,3811,
