date,Step Counts,Heart Rate
2016-05-08 00:00:00,,84
2016-05-09 00:00:00,,56
2016-05-11 00:00:00,,97
2016-05-12 00:00:00,,71
2016-05-13 00:00:00,,73
2016-05-14 00:00:00,,84
2016-05-15 00:00:00,,87
2016-05-16 00:00:00,,64
2016-05-17 00:00:00,,75
2016-05-18 00:00:00,,78
2016-05-19 00:00:00,,78
2016-05-24 00:00:00,,73
2016-05-25 00:00:00,,76
2016-05-26 00:00:00,,73
2016-06-20 00:00:00,,73
2016-06-21 00:00:00,,77
2016-06-23 00:00:00,,74
2016-06-24 00:00:00,,71
2016-06-28 00:00:00,,76
2016-07-01 00:00:00,,76
2016-07-02 00:00:00,,71
2016-07-03 00:00:00,,80
2016-07-04 00:00:00,,77
