date,Step Counts,Heart Rate
2016-04-14 00:00:00,5711,86
2016-04-16 00:00:00,2422,84
2016-04-17 00:00:00,134,
2016-04-18 00:00:00,2585,
2016-04-19 00:00:00,7229,72
2016-04-20 00:00:00,4410,81
2016-04-21 00:00:00,2866,92
2016-04-22 00:00:00,4209,83
2016-04-23 00:00:00,1093,82
2016-04-24 00:00:00,171,73
2016-04-25 00:00:00,3689,88
2016-04-26 00:00:00,2667,83
2016-04-27 00:00:00,4261,83
2016-04-28 00:00:00,7030,95
2016-04-29 00:00:00,5121,88
2016-04-30 00:00:00,1580,86
2016-05-01 00:00:00,263,93
2016-05-02 00:00:00,288,98
2016-05-03 00:00:00,1646,79
2016-05-04 00:00:00,3862,92
2016-05-05 00:00:00,6796,92
2016-05-06 00:00:00,3748,81
2016-05-07 00:00:00,208,82
2016-05-08 00:00:00,536,77
2016-05-09 00:00:00,3957,89
2016-05-10 00:00:00,3556,84
2016-05-11 00:00:00,3384,89
2016-05-12 00:00:00,9217,75
2016-05-13 00:00:00,9626,89
2016-05-14 00:00:00,7768,77
2016-05-15 00:00:00,7350,77
2016-05-17 00:00:00,2644,91
2016-05-18 00:00:00,2404,87
2016-05-19 00:00:00,5239,84
2016-05-21 00:00:00,,61
2016-05-23 00:00:00,3578,90
2016-05-24 00:00:00,2652,87
2016-05-25 00:00:00,2088,83
2016-05-26 00:00:00,4375,89
2016-05-27 00:00:00,4493,77
2016-05-28 00:00:00,70,77
2016-05-29 00:00:00,56,80
2016-05-30 00:00:00,3815,87
2016-05-31 00:00:00,3403,79
2016-06-01 00:00:00,2796,80
2016-06-02 00:00:00,2708,87
2016-06-03 00:00:00,5326,91
2016-06-04 00:00:00,162,80
2016-06-05 00:00:00,54,83
2016-06-06 00:00:00,2812,81
2016-06-07 00:00:00,1785,80
2016-06-08 00:00:00,1796,78
2016-06-09 00:00:00,6363,79
2016-06-10 00:00:00,3259,87
2016-06-11 00:00:00,10,77
2016-06-12 00:00:00,6,87
2016-06-13 00:00:00,2698,86
2016-06-14 00:00:00,2313,82
2016-06-15 00:00:00,3914,79
2016-06-16 00:00:00,2340,80
2016-06-17 00:00:00,3181,82
2016-06-18 00:00:00,445,74
2016-06-19 00:00:00,80,66
2016-06-20 00:00:00,3893,79
2016-06-21 00:00:00,5124,90
2016-06-22 00:00:00,3193,77
2016-06-23 00:00:00,1644,84
2016-06-24 00:00:00,3411,82
2016-06-25 00:00:00,2563,88
2016-06-27 00:00:00,3603,86
2016-06-28 00:00:00,,86
2016-06-29 00:00:00,,85
2016-06-30 00:00:00,,92
2016-07-02 00:00:00,,76
2016-07-03 00:00:00,,93
2016-07-04 00:00:00,,81
2016-07-05 00:00:00,,86
2016-07-06 00:00:00,,86
2016-07-08 00:00:00,,78
2016-07-14 00:00:00,,85
2016-07-16 00:00:00,,73
2016-07-17 00:00:00,,71
2016-07-18 00:00:00,,79
2016-07-19 00:00:00,,82
2016-07-20 00:00:00,,92
2016-07-21 00:00:00,,87
2016-07-25 00:00:00,,83
2016-07-26 00:00:00,,85
2016-07-27 00:00:00,,82
2016-07-28 00:00:00,,78
2016-07-29 00:00:00,,85
2016-07-30 00:00:00,,71
2016-07-31 00:00:00,,80
2016-08-01 00:00:00,,88
2016-08-02 00:00:00,,80
2016-08-03 00:00:00,,90
