date,Step Counts,Heart Rate
2016-05-30 00:00:00,7582,
2016-05-31 00:00:00,5857,
2016-06-01 00:00:00,8451,63
2016-06-02 00:00:00,13996,
2016-06-03 00:00:00,6599,
2016-06-04 00:00:00,17348,
2016-06-05 00:00:00,8071,
2016-06-06 00:00:00,13352,
2016-06-08 00:00:00,11785,
2016-06-09 00:00:00,6196,
2016-06-11 00:00:00,9773,
2016-06-12 00:00:00,16250,
2016-06-13 00:00:00,7495,
2016-06-15 00:00:00,6420,
2016-06-16 00:00:00,9979,
2016-06-17 00:00:00,7484,
2016-06-18 00:00:00,10627,
2016-06-19 00:00:00,7244,
2016-06-20 00:00:00,3867,
