date,Step Counts,Heart Rate
2016-01-03 00:00:00,4466,
2016-01-04 00:00:00,16770,
2016-01-05 00:00:00,18285,
2016-01-06 00:00:00,12401,
2016-01-07 00:00:00,8657,
2016-01-09 00:00:00,9485,
2016-01-10 00:00:00,13530,
2016-01-11 00:00:00,16290,
2016-01-12 00:00:00,3512,
2016-01-13 00:00:00,5458,
2016-01-14 00:00:00,10745,
2016-01-15 00:00:00,10310,
2016-01-16 00:00:00,7845,
2016-01-17 00:00:00,14094,
2016-01-18 00:00:00,16068,
2016-01-20 00:00:00,7505,
2016-01-21 00:00:00,12647,
2016-01-22 00:00:00,7547,
2016-01-23 00:00:00,11402,
2016-01-24 00:00:00,8670,
2016-01-25 00:00:00,5262,
2016-01-26 00:00:00,7275,
2016-01-27 00:00:00,8437,
2016-01-28 00:00:00,11765,
2016-01-30 00:00:00,11200,
2016-01-31 00:00:00,9526,
2016-02-01 00:00:00,13135,
2016-02-02 00:00:00,8350,
2016-02-03 00:00:00,13076,
2016-02-04 00:00:00,13874,
2016-02-05 00:00:00,10436,
2016-02-07 00:00:00,13553,
2016-02-08 00:00:00,15860,
2016-02-09 00:00:00,6480,
2016-02-10 00:00:00,5746,
2016-02-12 00:00:00,8093,
2016-02-13 00:00:00,10664,
2016-02-14 00:00:00,6759,
2016-02-15 00:00:00,7978,
2016-02-16 00:00:00,9395,
2016-02-17 00:00:00,10439,
2016-02-18 00:00:00,10488,
2016-02-20 00:00:00,10659,
2016-02-21 00:00:00,8158,
2016-02-22 00:00:00,8625,
2016-02-23 00:00:00,9063,
2016-02-24 00:00:00,5681,
2016-02-25 00:00:00,13482,
2016-02-27 00:00:00,11673,
2016-03-01 00:00:00,2427,
2016-03-03 00:00:00,6972,
2016-03-04 00:00:00,11668,
2016-03-05 00:00:00,7329,
2016-03-07 00:00:00,12524,
2016-03-08 00:00:00,6130,
2016-03-11 00:00:00,8905,
2016-03-13 00:00:00,7331,
2016-03-18 00:00:00,2407,
2016-03-19 00:00:00,5810,
2016-03-20 00:00:00,5887,
2016-03-27 00:00:00,10046,
