date,Step Counts,Heart Rate
2016-02-22 00:00:00,6768,
2016-02-23 00:00:00,1833,60
2016-02-24 00:00:00,8695,
2016-02-25 00:00:00,5213,100
2016-02-26 00:00:00,7429,
2016-02-27 00:00:00,12480,72
2016-02-28 00:00:00,3826,65
2016-02-29 00:00:00,6419,78
2016-03-01 00:00:00,2353,65
2016-03-02 00:00:00,6760,64
2016-03-03 00:00:00,1240,62
2016-03-04 00:00:00,5507,62
2016-03-05 00:00:00,12474,68
2016-03-06 00:00:00,4527,67
2016-03-07 00:00:00,4298,72
2016-03-08 00:00:00,5229,64
2016-03-09 00:00:00,7156,72
2016-03-10 00:00:00,5085,63
2016-03-11 00:00:00,5423,72
2016-03-12 00:00:00,2575,75
2016-03-13 00:00:00,507,75
2016-03-14 00:00:00,5536,79
2016-03-15 00:00:00,1617,72
2016-03-16 00:00:00,5788,83
2016-03-17 00:00:00,470,94
2016-03-18 00:00:00,5449,80
2016-03-19 00:00:00,155,69
2016-03-20 00:00:00,164,
2016-03-21 00:00:00,3899,74
2016-03-22 00:00:00,503,68
2016-03-23 00:00:00,5416,81
2016-03-25 00:00:00,4288,72
2016-03-26 00:00:00,510,73
2016-03-28 00:00:00,5520,80
2016-03-29 00:00:00,1005,81
2016-03-30 00:00:00,7257,78
2016-03-31 00:00:00,3237,74
2016-04-01 00:00:00,6397,81
2016-04-02 00:00:00,1917,76
2016-04-03 00:00:00,6166,70
2016-04-04 00:00:00,2105,73
2016-04-05 00:00:00,3533,78
2016-04-06 00:00:00,7779,83
2016-04-07 00:00:00,8536,73
2016-04-08 00:00:00,9175,77
2016-04-09 00:00:00,6305,75
2016-04-10 00:00:00,5239,80
2016-04-11 00:00:00,9620,78
2016-04-12 00:00:00,9951,73
2016-04-13 00:00:00,8045,72
2016-04-14 00:00:00,4531,78
2016-04-15 00:00:00,9138,79
2016-04-16 00:00:00,10938,80
2016-04-17 00:00:00,2829,78
2016-04-19 00:00:00,4975,75
2016-04-20 00:00:00,49,73
2016-04-21 00:00:00,,79
2016-04-22 00:00:00,9921,75
2016-04-23 00:00:00,4474,76
2016-04-24 00:00:00,397,85
2016-04-25 00:00:00,6551,86
2016-04-26 00:00:00,6381,76
2016-04-27 00:00:00,5581,81
2016-04-29 00:00:00,303,
2016-04-30 00:00:00,463,
2016-05-01 00:00:00,375,
2016-05-02 00:00:00,53,
2016-05-04 00:00:00,3904,70
2016-05-07 00:00:00,2688,84
2016-05-08 00:00:00,609,
2016-05-09 00:00:00,183,74
2016-05-10 00:00:00,302,76
2016-05-22 00:00:00,,75
2016-05-23 00:00:00,,76
2016-09-11 00:00:00,,85
2016-09-15 00:00:00,,141
