date,Step Counts,Heart Rate
2016-10-21 00:00:00,,71
2016-10-22 00:00:00,,76
2016-10-23 00:00:00,,73
2016-10-24 00:00:00,,103
2016-10-25 00:00:00,,103
2016-10-26 00:00:00,,46
2016-10-31 00:00:00,,71
2016-11-01 00:00:00,,72
2016-11-02 00:00:00,,85
2016-11-04 00:00:00,,61
2016-11-06 00:00:00,,79
2016-11-07 00:00:00,,107
2016-11-08 00:00:00,,72
2016-11-09 00:00:00,,71
2016-11-11 00:00:00,,65
2016-11-14 00:00:00,,77
2016-11-15 00:00:00,,110
2016-11-16 00:00:00,,65
2016-11-17 00:00:00,,88
2016-11-18 00:00:00,,77
2016-11-19 00:00:00,,57
2016-11-20 00:00:00,,63
2016-11-21 00:00:00,,72
2016-11-22 00:00:00,,89
2016-11-24 00:00:00,,63
2016-11-28 00:00:00,,73
2016-11-29 00:00:00,,107
2016-11-30 00:00:00,,84
2016-12-01 00:00:00,,84
2016-12-02 00:00:00,,74
2016-12-03 00:00:00,,115
2016-12-23 00:00:00,,141
2016-12-24 00:00:00,,65
2016-12-27 00:00:00,,76
2016-12-29 00:00:00,,68
2016-12-30 00:00:00,,124
2016-12-31 00:00:00,,114
2017-01-01 00:00:00,,74
2017-01-03 00:00:00,,119
2017-01-04 00:00:00,,93
2017-01-05 00:00:00,,93
2017-01-06 00:00:00,,100
2017-01-07 00:00:00,,71
2017-01-08 00:00:00,,105
2017-01-09 00:00:00,,72
2017-01-10 00:00:00,,73
2017-01-11 00:00:00,,85
2017-01-12 00:00:00,,75
2017-01-13 00:00:00,,75
2017-01-15 00:00:00,,111
2017-01-16 00:00:00,,89
2017-01-17 00:00:00,,92
2017-01-18 00:00:00,,75
2017-01-19 00:00:00,,99
2017-01-20 00:00:00,,74
2017-01-21 00:00:00,,76
2017-01-23 00:00:00,,62
2017-01-24 00:00:00,,77
2017-01-25 00:00:00,,75
2017-01-26 00:00:00,,80
2017-01-28 00:00:00,,63
2017-01-29 00:00:00,,66
2017-01-30 00:00:00,,81
2017-02-01 00:00:00,,73
2017-02-02 00:00:00,,108
2017-02-03 00:00:00,,76
2017-02-04 00:00:00,,77
2017-02-05 00:00:00,,65
2017-02-06 00:00:00,,73
2017-02-07 00:00:00,,67
2017-02-08 00:00:00,,76
2017-02-09 00:00:00,,95
2017-02-11 00:00:00,,71
2017-02-12 00:00:00,,69
2017-02-13 00:00:00,,98
2017-02-14 00:00:00,,72
2017-02-17 00:00:00,,104
2017-02-18 00:00:00,,104
2017-02-19 00:00:00,,81
2017-02-20 00:00:00,,73
2017-02-21 00:00:00,,75
2017-02-22 00:00:00,,72
2017-02-23 00:00:00,,85
2017-02-24 00:00:00,,137
2017-02-25 00:00:00,,77
2017-02-26 00:00:00,,74
2017-02-27 00:00:00,,80
2017-03-01 00:00:00,,72
2017-03-03 00:00:00,,79
2017-03-05 00:00:00,,78
2017-03-07 00:00:00,,82
2017-03-08 00:00:00,,91
2017-03-09 00:00:00,,95
2017-03-10 00:00:00,,81
2017-03-11 00:00:00,,71
2017-03-13 00:00:00,,83
2017-03-14 00:00:00,,68
2017-03-17 00:00:00,,71
2017-03-19 00:00:00,,84
2017-03-20 00:00:00,,75
2017-03-22 00:00:00,,90
2017-03-23 00:00:00,,108
2017-03-24 00:00:00,,73
2017-03-26 00:00:00,,73
2017-03-28 00:00:00,,78
2017-04-25 00:00:00,,84
2017-04-26 00:00:00,,90
2017-05-03 00:00:00,,88
2017-05-15 00:00:00,,54
2017-05-16 00:00:00,,73
2017-05-19 00:00:00,,71
2017-05-28 00:00:00,,172
2017-05-30 00:00:00,,172
2017-05-31 00:00:00,,86
2017-06-06 00:00:00,,49
2017-06-07 00:00:00,,79
2017-06-18 00:00:00,,53
2017-06-19 00:00:00,,73
2017-07-15 00:00:00,,85
