date,Step Counts,Heart Rate
2016-01-03 00:00:00,4136,
2016-01-04 00:00:00,1501,
2016-01-06 00:00:00,2,
2016-01-09 00:00:00,2366,
2016-01-10 00:00:00,6803,103
2016-01-11 00:00:00,11205,
2016-01-12 00:00:00,7847,
2016-01-13 00:00:00,6354,
2016-01-14 00:00:00,6967,
2016-01-17 00:00:00,1564,
2016-01-18 00:00:00,6915,
2016-01-19 00:00:00,4703,
2016-01-22 00:00:00,7483,
2016-01-23 00:00:00,6406,
2016-01-24 00:00:00,10164,75
2016-01-25 00:00:00,6527,
2016-01-26 00:00:00,6911,
2016-01-27 00:00:00,6149,
2016-01-28 00:00:00,3281,
2016-01-29 00:00:00,5339,
2016-01-30 00:00:00,6430,
2016-01-31 00:00:00,7224,
2016-02-01 00:00:00,6680,
2016-02-02 00:00:00,6318,
2016-02-03 00:00:00,7149,
2016-02-04 00:00:00,6596,
2016-02-05 00:00:00,5774,
2016-02-06 00:00:00,12634,
2016-02-07 00:00:00,6201,
2016-02-08 00:00:00,6287,
2016-02-09 00:00:00,5301,
2016-02-10 00:00:00,3909,
2016-02-15 00:00:00,8121,
2016-02-16 00:00:00,7113,
2016-02-17 00:00:00,5578,
2016-02-18 00:00:00,5193,
2016-02-19 00:00:00,6693,
2016-02-20 00:00:00,9187,
2016-02-21 00:00:00,7199,
2016-02-22 00:00:00,5636,
2016-02-23 00:00:00,3745,
2016-02-24 00:00:00,8183,
2016-02-25 00:00:00,4228,
2016-02-26 00:00:00,4610,
2016-02-27 00:00:00,4591,90
2016-02-28 00:00:00,5189,77
2016-02-29 00:00:00,4952,78
2016-03-01 00:00:00,5440,83
2016-03-02 00:00:00,6872,72
2016-03-03 00:00:00,5152,89
2016-03-04 00:00:00,5808,77
2016-03-05 00:00:00,6834,83
2016-03-06 00:00:00,5486,84
2016-03-07 00:00:00,5107,81
2016-03-08 00:00:00,2581,81
2016-03-09 00:00:00,5870,76
2016-03-10 00:00:00,6376,76
2016-03-11 00:00:00,4888,80
2016-03-12 00:00:00,11016,80
2016-03-13 00:00:00,3189,79
2016-03-14 00:00:00,5886,76
2016-03-15 00:00:00,5370,77
2016-03-16 00:00:00,4911,77
2016-03-17 00:00:00,5711,78
2016-03-18 00:00:00,321,96
2016-03-20 00:00:00,3945,81
2016-03-24 00:00:00,,112
2016-03-25 00:00:00,4488,81
2016-03-26 00:00:00,4970,87
2016-03-27 00:00:00,,150
2016-03-28 00:00:00,11766,88
