date,Step Counts,Heart Rate
2017-07-06 00:00:00,,85
2017-07-08 00:00:00,,86
2017-07-09 00:00:00,,83
2017-07-10 00:00:00,,87
2017-07-11 00:00:00,,88
2017-07-12 00:00:00,,86
2017-07-13 00:00:00,,84
2017-07-14 00:00:00,,84
2017-07-15 00:00:00,,87
2017-07-17 00:00:00,,93
2017-07-18 00:00:00,,82
2017-07-21 00:00:00,,87
2017-07-22 00:00:00,,91
2017-07-24 00:00:00,,88
2017-07-25 00:00:00,,84
2017-07-27 00:00:00,,80
2017-07-28 00:00:00,,84
2017-07-29 00:00:00,,82
2017-07-31 00:00:00,,92
2017-08-01 00:00:00,,88
2017-08-02 00:00:00,,91
2017-08-03 00:00:00,,84
2017-08-05 00:00:00,,82
2017-08-06 00:00:00,,85
2017-08-07 00:00:00,,85
2017-08-08 00:00:00,,76
2017-08-11 00:00:00,,89
2017-08-13 00:00:00,,91
2017-08-14 00:00:00,,94
2017-08-16 00:00:00,,86
2017-08-18 00:00:00,,87
2017-08-19 00:00:00,,80
2017-08-20 00:00:00,,84
2017-08-21 00:00:00,,90
2017-08-24 00:00:00,,87
2017-08-25 00:00:00,,83
2017-08-26 00:00:00,,85
2017-08-27 00:00:00,,95
2017-08-29 00:00:00,,79
2017-08-30 00:00:00,,84
2017-08-31 00:00:00,,86
2017-09-01 00:00:00,,81
2017-09-03 00:00:00,,85
2017-09-04 00:00:00,,79
2017-09-05 00:00:00,,80
2017-09-06 00:00:00,,82
2017-09-08 00:00:00,,84
2017-09-09 00:00:00,,86
2017-09-10 00:00:00,,84
2017-09-12 00:00:00,,91
2017-09-14 00:00:00,,84
2017-09-15 00:00:00,,85
2017-09-16 00:00:00,,88
2017-09-17 00:00:00,,87
2017-09-18 00:00:00,,87
2017-09-19 00:00:00,,87
2017-09-20 00:00:00,,83
2017-09-21 00:00:00,,81
2017-09-23 00:00:00,,83
2017-09-24 00:00:00,,78
2017-09-25 00:00:00,,81
2017-09-26 00:00:00,,82
2017-09-27 00:00:00,,85
2017-09-28 00:00:00,,81
2017-09-29 00:00:00,,84
2017-09-30 00:00:00,,82
2017-10-01 00:00:00,,83
2017-10-02 00:00:00,,86
2017-10-03 00:00:00,,75
2017-10-04 00:00:00,,79
2017-10-06 00:00:00,,89
2017-10-07 00:00:00,,78
2017-10-08 00:00:00,,86
2017-10-09 00:00:00,,83
2017-10-11 00:00:00,,85
2017-10-12 00:00:00,,88
2017-10-13 00:00:00,,87
2017-10-14 00:00:00,,76
2017-10-17 00:00:00,,81
2017-10-18 00:00:00,,76
2017-10-19 00:00:00,,86
2017-10-22 00:00:00,,86
2017-10-23 00:00:00,,81
2017-10-24 00:00:00,,86
2017-10-25 00:00:00,,83
2017-10-27 00:00:00,,85
2017-10-28 00:00:00,,92
2017-10-29 00:00:00,,90
2017-10-30 00:00:00,,84
2017-11-01 00:00:00,,78
2017-11-02 00:00:00,,88
2017-11-03 00:00:00,,79
2017-11-04 00:00:00,,78
2017-11-05 00:00:00,,78
2017-11-06 00:00:00,,82
2017-11-07 00:00:00,,82
2017-11-08 00:00:00,,81
2017-11-09 00:00:00,,81
2017-11-10 00:00:00,,81
2017-11-11 00:00:00,,81
2017-11-13 00:00:00,,78
2017-11-15 00:00:00,,84
2017-11-16 00:00:00,,88
2017-11-19 00:00:00,,79
2017-11-20 00:00:00,,84
2017-11-21 00:00:00,,84
2017-11-23 00:00:00,,91
2017-11-24 00:00:00,,87
2017-11-25 00:00:00,,80
2017-11-26 00:00:00,,80
2017-11-27 00:00:00,,78
2017-11-29 00:00:00,,82
2017-11-30 00:00:00,,81
2017-12-01 00:00:00,,84
2017-12-02 00:00:00,,84
2017-12-03 00:00:00,,91
2017-12-05 00:00:00,,84
2017-12-06 00:00:00,,85
2017-12-07 00:00:00,,84
2017-12-08 00:00:00,,82
2017-12-09 00:00:00,,81
2017-12-10 00:00:00,,80
2017-12-12 00:00:00,,86
2017-12-13 00:00:00,,82
2017-12-14 00:00:00,,80
2017-12-15 00:00:00,,83
2017-12-16 00:00:00,,81
2017-12-17 00:00:00,,83
2017-12-18 00:00:00,,79
2017-12-19 00:00:00,,80
2017-12-21 00:00:00,,86
2017-12-22 00:00:00,,85
2017-12-23 00:00:00,,86
2017-12-24 00:00:00,,86
2017-12-26 00:00:00,,81
2017-12-28 00:00:00,,79
2017-12-29 00:00:00,,85
2017-12-30 00:00:00,,87
2017-12-31 00:00:00,,88
2018-01-01 00:00:00,,88
2018-01-02 00:00:00,,82
2018-01-03 00:00:00,,82
2018-01-05 00:00:00,,82
2018-01-06 00:00:00,,80
2018-01-07 00:00:00,,82
2018-01-08 00:00:00,,84
2018-01-11 00:00:00,,79
2018-01-12 00:00:00,,84
2018-01-13 00:00:00,,76
2018-01-19 00:00:00,,84
2018-01-21 00:00:00,,78
2018-01-22 00:00:00,,87
2018-01-23 00:00:00,,88
