date,Step Counts,Heart Rate
2016-04-27 00:00:00,7115,
2016-04-28 00:00:00,8942,
2016-04-29 00:00:00,3543,
2016-04-30 00:00:00,8269,
2016-05-01 00:00:00,11236,
2016-05-02 00:00:00,4101,
2016-05-04 00:00:00,6050,
2016-05-06 00:00:00,12103,
2016-05-08 00:00:00,2118,
2016-05-09 00:00:00,4938,
2016-05-11 00:00:00,4279,
2016-05-22 00:00:00,9134,
2016-05-23 00:00:00,1352,
2016-05-24 00:00:00,1890,
2016-05-25 00:00:00,933,
2016-05-26 00:00:00,4060,
2016-05-27 00:00:00,4440,
2016-05-28 00:00:00,7804,
2016-05-29 00:00:00,9167,
2016-05-30 00:00:00,2592,
2016-06-03 00:00:00,5116,
2016-06-04 00:00:00,4384,
2016-06-05 00:00:00,6489,
2016-06-06 00:00:00,4135,
2016-06-10 00:00:00,5277,
2016-06-11 00:00:00,4978,
2016-06-14 00:00:00,8202,
2016-06-15 00:00:00,2450,
2016-06-16 00:00:00,643,
2016-06-17 00:00:00,5420,
2016-06-18 00:00:00,8167,
2016-06-19 00:00:00,9289,
