date,Step Counts,Heart Rate
2016-02-05 00:00:00,1860,
2016-02-07 00:00:00,5592,87
2016-02-08 00:00:00,3870,115
2016-02-09 00:00:00,1508,
2016-02-10 00:00:00,1612,87
2016-02-11 00:00:00,3152,106
2016-02-12 00:00:00,3703,95
2016-02-13 00:00:00,2054,92
2016-02-19 00:00:00,1474,84
2016-02-20 00:00:00,1695,81
2016-02-21 00:00:00,1500,78
2016-02-22 00:00:00,5696,78
2016-02-23 00:00:00,4080,98
2016-02-24 00:00:00,1239,105
2016-02-25 00:00:00,3211,107
2016-02-26 00:00:00,7785,90
2016-02-27 00:00:00,2341,91
2016-02-28 00:00:00,4199,90
2016-02-29 00:00:00,2194,112
2016-03-01 00:00:00,3066,99
2016-03-02 00:00:00,2625,87
2016-03-03 00:00:00,3192,83
2016-03-04 00:00:00,2636,115
2016-03-13 00:00:00,3536,99
2016-03-21 00:00:00,978,100
2016-03-22 00:00:00,2321,95
2016-03-23 00:00:00,1858,104
2016-03-26 00:00:00,3185,77
2016-03-27 00:00:00,2521,91
2016-03-28 00:00:00,2615,106
2016-03-29 00:00:00,1845,102
2016-03-30 00:00:00,765,96
2016-03-31 00:00:00,4953,81
2016-04-01 00:00:00,6480,80
2016-04-02 00:00:00,5078,93
2016-04-03 00:00:00,12276,85
2016-04-04 00:00:00,1084,106
2016-04-05 00:00:00,1949,116
2016-04-06 00:00:00,1396,75
2016-04-07 00:00:00,1692,101
2016-04-08 00:00:00,1141,
2016-04-09 00:00:00,3069,93
2016-04-10 00:00:00,6591,88
2016-04-11 00:00:00,1135,99
2016-04-12 00:00:00,2594,
2016-04-13 00:00:00,884,
2016-04-15 00:00:00,4528,102
2016-04-16 00:00:00,7264,75
2016-04-18 00:00:00,1138,105
2016-04-20 00:00:00,1187,80
2016-04-22 00:00:00,6978,103
2016-04-24 00:00:00,14300,98
2016-04-25 00:00:00,5254,101
2016-04-26 00:00:00,2536,90
2016-04-27 00:00:00,4135,98
2016-04-29 00:00:00,5735,87
2016-04-30 00:00:00,5049,97
2016-05-01 00:00:00,12912,87
2016-05-02 00:00:00,5095,98
2016-05-03 00:00:00,3512,107
2016-05-04 00:00:00,7126,96
2016-05-05 00:00:00,4017,82
2016-05-06 00:00:00,284,
2016-05-08 00:00:00,17312,86
2016-05-09 00:00:00,7604,112
2016-05-10 00:00:00,2211,110
2016-05-11 00:00:00,2333,89
2016-05-12 00:00:00,1889,114
2016-05-13 00:00:00,2150,86
2016-05-14 00:00:00,4023,82
2016-05-15 00:00:00,9999,96
2016-05-17 00:00:00,1541,107
2016-05-18 00:00:00,3294,103
2016-05-19 00:00:00,12714,106
2016-05-20 00:00:00,4514,91
2016-05-21 00:00:00,5212,89
2016-05-23 00:00:00,4672,98
2016-05-24 00:00:00,5997,102
2016-05-25 00:00:00,49,78
2016-05-26 00:00:00,1398,109
2016-05-30 00:00:00,3172,81
2016-06-01 00:00:00,2530,107
2016-06-02 00:00:00,,104
2016-06-03 00:00:00,4641,84
2016-06-04 00:00:00,1941,90
2016-06-10 00:00:00,7279,
2016-06-11 00:00:00,13505,99
2016-06-12 00:00:00,12267,101
2016-06-14 00:00:00,,71
2016-06-15 00:00:00,,82
2016-06-16 00:00:00,,106
2016-06-17 00:00:00,,84
2016-06-23 00:00:00,,88
2016-06-24 00:00:00,,76
2016-06-25 00:00:00,,97
2016-07-01 00:00:00,,73
