date,Step Counts,Heart Rate
2016-03-27 00:00:00,4927,
2016-03-30 00:00:00,16,
2016-04-04 00:00:00,28,
2016-04-07 00:00:00,7025,
2016-04-09 00:00:00,3386,
2016-04-10 00:00:00,6366,
2016-04-14 00:00:00,2842,
2016-04-17 00:00:00,2597,
2016-04-21 00:00:00,2301,
2016-04-23 00:00:00,10812,
2016-04-27 00:00:00,6575,
2016-04-28 00:00:00,2267,
2016-04-29 00:00:00,4765,
2016-05-01 00:00:00,8489,
2016-05-02 00:00:00,342,
2016-05-05 00:00:00,2856,
2016-05-07 00:00:00,7823,
2016-05-08 00:00:00,92,
2016-05-10 00:00:00,783,
2016-05-13 00:00:00,6172,
2016-05-16 00:00:00,1023,
2016-05-21 00:00:00,3931,
2016-05-22 00:00:00,4256,
2016-05-24 00:00:00,7581,
2016-05-26 00:00:00,8117,
2016-05-27 00:00:00,14618,
2016-05-28 00:00:00,3126,
2016-05-29 00:00:00,5400,
2016-05-30 00:00:00,9769,
2016-05-31 00:00:00,10286,
2016-06-01 00:00:00,8348,
2016-06-03 00:00:00,8920,
2016-06-04 00:00:00,5323,
2016-06-05 00:00:00,8190,
2016-06-07 00:00:00,2463,
2016-06-09 00:00:00,6588,
2016-06-16 00:00:00,5132,
2016-06-17 00:00:00,2536,
2016-06-19 00:00:00,5885,
2016-10-12 00:00:00,4250,
2016-10-13 00:00:00,8171,
2016-10-14 00:00:00,11514,
2016-10-15 00:00:00,8902,
2016-10-16 00:00:00,13312,
2016-10-17 00:00:00,9610,
2016-10-18 00:00:00,4151,
2016-10-19 00:00:00,8318,
2016-10-20 00:00:00,5138,
2016-10-21 00:00:00,9465,
2016-10-22 00:00:00,6953,
2016-10-23 00:00:00,12107,
2016-10-24 00:00:00,8184,
2016-10-25 00:00:00,8154,
2016-10-26 00:00:00,8808,
2016-11-02 00:00:00,2540,
2016-11-03 00:00:00,1518,
2016-11-05 00:00:00,5964,
2016-11-06 00:00:00,6466,
2016-11-08 00:00:00,6718,
2016-11-09 00:00:00,3924,
2016-11-10 00:00:00,9562,
2016-11-11 00:00:00,7014,
2016-11-12 00:00:00,13449,
2016-11-13 00:00:00,6672,
2016-11-14 00:00:00,3923,
2016-11-15 00:00:00,6454,
2016-11-16 00:00:00,6625,
2016-11-17 00:00:00,6664,
2016-11-18 00:00:00,6775,
2016-11-20 00:00:00,3618,
2016-11-24 00:00:00,5757,
2016-11-25 00:00:00,6356,
2016-11-27 00:00:00,5628,
2016-11-28 00:00:00,5207,
2016-11-29 00:00:00,188,
2016-11-30 00:00:00,6072,
2016-12-01 00:00:00,6174,
2016-12-02 00:00:00,6144,
2016-12-03 00:00:00,1792,
2016-12-05 00:00:00,9856,
2016-12-06 00:00:00,1924,
2016-12-07 00:00:00,8057,
2016-12-08 00:00:00,9065,
2016-12-11 00:00:00,9475,
2016-12-12 00:00:00,8620,
2016-12-13 00:00:00,12766,
2016-12-14 00:00:00,8918,
2016-12-16 00:00:00,9121,
2016-12-17 00:00:00,7405,
2016-12-18 00:00:00,8605,
2016-12-19 00:00:00,9346,
2016-12-20 00:00:00,5041,
2016-12-21 00:00:00,10012,
2016-12-23 00:00:00,9823,
2016-12-24 00:00:00,3911,
2016-12-25 00:00:00,8646,
2016-12-27 00:00:00,9390,
2016-12-28 00:00:00,3520,
