date,Step Counts,Heart Rate
2016-01-05 00:00:00,10238,
2016-01-06 00:00:00,6276,
2016-01-08 00:00:00,5623,
2016-01-09 00:00:00,6491,
2016-01-10 00:00:00,5921,
2016-01-11 00:00:00,8087,
2016-01-12 00:00:00,7586,
2016-01-13 00:00:00,5509,79
2016-01-14 00:00:00,7112,
2016-01-16 00:00:00,2214,
2016-01-18 00:00:00,5828,56
2016-01-19 00:00:00,5577,
2016-01-20 00:00:00,5770,
2016-01-21 00:00:00,6234,
2016-01-22 00:00:00,8925,
2016-01-23 00:00:00,6993,
2016-01-24 00:00:00,6392,
2016-01-25 00:00:00,8412,
2016-01-26 00:00:00,9416,
2016-01-27 00:00:00,6336,
2016-01-28 00:00:00,6807,
