date,Step Counts,Heart Rate
2016-06-23 00:00:00,6419,74
2016-06-24 00:00:00,6025,80
2016-06-25 00:00:00,15630,88
2016-06-26 00:00:00,9208,70
2016-06-27 00:00:00,2660,74
2016-06-28 00:00:00,,77
2016-06-29 00:00:00,,80
2016-06-30 00:00:00,,81
2016-07-01 00:00:00,8933,75
2016-07-02 00:00:00,12587,
2016-07-03 00:00:00,,69
2016-07-11 00:00:00,,75
2016-07-12 00:00:00,,76
2016-07-13 00:00:00,,76
2016-07-14 00:00:00,,74
2016-07-15 00:00:00,,71
2016-07-19 00:00:00,,76
2016-07-21 00:00:00,,71
2016-07-26 00:00:00,,65
2016-07-27 00:00:00,,78
2016-07-28 00:00:00,,76
2016-07-30 00:00:00,,56
2016-08-01 00:00:00,,74
2016-08-02 00:00:00,,72
2016-08-03 00:00:00,,75
2016-08-04 00:00:00,,73
2016-08-05 00:00:00,,79
2016-08-06 00:00:00,,77
2016-08-08 00:00:00,,71
2016-08-09 00:00:00,,79
2016-08-10 00:00:00,,79
2016-08-11 00:00:00,,82
2016-08-12 00:00:00,,78
2016-08-13 00:00:00,,84
2016-08-16 00:00:00,,82
2016-08-17 00:00:00,,82
2016-08-18 00:00:00,,78
2016-08-21 00:00:00,,87
2016-08-22 00:00:00,,72
2016-08-23 00:00:00,,79
2016-08-24 00:00:00,,77
2016-08-25 00:00:00,,75
2016-08-28 00:00:00,,91
2016-08-29 00:00:00,,76
2016-08-30 00:00:00,,76
2016-08-31 00:00:00,,80
2016-09-04 00:00:00,,76
2016-09-05 00:00:00,,73
2016-09-06 00:00:00,,75
2016-09-07 00:00:00,,79
2016-09-08 00:00:00,,74
2016-09-12 00:00:00,,81
2016-09-15 00:00:00,,71
2016-09-20 00:00:00,,73
2016-09-21 00:00:00,,82
2016-09-22 00:00:00,,85
2016-09-23 00:00:00,,77
2016-09-24 00:00:00,,92
2016-09-27 00:00:00,,80
2016-09-28 00:00:00,,77
2016-10-03 00:00:00,,74
2016-10-04 00:00:00,,82
2016-10-06 00:00:00,,84
2016-10-07 00:00:00,,74
2016-10-08 00:00:00,,72
2016-10-09 00:00:00,,80
2016-10-10 00:00:00,,81
2016-10-11 00:00:00,10768,75
2016-10-12 00:00:00,7431,86
2016-10-13 00:00:00,6586,71
2016-10-15 00:00:00,5629,80
2016-10-17 00:00:00,6382,77
2016-10-18 00:00:00,3193,79
2016-10-19 00:00:00,4801,82
2016-10-20 00:00:00,5174,84
2016-10-23 00:00:00,3903,65
2016-10-24 00:00:00,4561,78
2016-10-25 00:00:00,4883,75
2016-10-26 00:00:00,6117,76
2016-10-27 00:00:00,5851,79
2016-11-01 00:00:00,5707,87
2016-11-02 00:00:00,4570,82
2016-11-03 00:00:00,9493,82
