date,Step Counts,Heart Rate
2016-01-22 00:00:00,2962,
2016-01-23 00:00:00,20382,
2016-01-24 00:00:00,7297,
2016-01-25 00:00:00,9719,
2016-01-26 00:00:00,6328,
2016-01-28 00:00:00,9469,
2016-01-29 00:00:00,3035,
2016-01-30 00:00:00,8965,
2016-01-31 00:00:00,1910,
2016-02-02 00:00:00,8732,
2016-02-03 00:00:00,3359,
2016-02-04 00:00:00,5835,
2016-02-05 00:00:00,8985,
2016-02-06 00:00:00,3012,
2016-02-07 00:00:00,5639,
2016-02-08 00:00:00,605,
2016-02-09 00:00:00,7958,
2016-02-10 00:00:00,9455,
2016-02-11 00:00:00,8039,
2016-02-13 00:00:00,12844,
2016-02-14 00:00:00,2829,
2016-02-15 00:00:00,11080,
2016-02-16 00:00:00,81,
2016-02-17 00:00:00,8224,
2016-02-18 00:00:00,490,
2016-02-19 00:00:00,9180,
2016-02-20 00:00:00,2578,55
2016-02-21 00:00:00,16290,
2016-02-22 00:00:00,3706,
2016-02-23 00:00:00,16212,
2016-02-24 00:00:00,3775,
2016-02-25 00:00:00,7852,
2016-02-26 00:00:00,2492,
2016-02-27 00:00:00,11926,65
2016-02-28 00:00:00,4468,57
2016-03-01 00:00:00,5569,63
2016-03-02 00:00:00,4299,62
2016-03-05 00:00:00,5046,60
2016-03-06 00:00:00,13449,62
2016-03-07 00:00:00,1053,
2016-03-08 00:00:00,8553,70
2016-03-09 00:00:00,7394,63
2016-03-11 00:00:00,1032,63
2016-03-12 00:00:00,2921,62
2016-03-13 00:00:00,2165,75
2016-03-14 00:00:00,6604,
2016-03-15 00:00:00,5603,
2016-03-16 00:00:00,6940,69
2016-03-18 00:00:00,6498,
2016-03-20 00:00:00,9391,71
2016-03-21 00:00:00,6696,
2016-03-23 00:00:00,3138,67
2016-03-24 00:00:00,2775,73
2016-03-25 00:00:00,242,94
2016-03-26 00:00:00,1235,67
2016-03-27 00:00:00,1292,68
2016-03-28 00:00:00,5257,74
2016-03-29 00:00:00,3432,64
2016-03-30 00:00:00,503,65
2016-03-31 00:00:00,2475,67
2016-04-01 00:00:00,532,66
2016-04-02 00:00:00,170,72
2016-04-04 00:00:00,,68
2016-04-06 00:00:00,,67
2016-04-07 00:00:00,,81
2016-04-09 00:00:00,,74
2016-04-10 00:00:00,,75
