date,Step Counts,Heart Rate
2016-01-30 00:00:00,7557,
2016-01-31 00:00:00,4470,
2016-02-04 00:00:00,4944,
2016-02-05 00:00:00,401,
2016-02-06 00:00:00,1316,
2016-02-07 00:00:00,2438,
2016-02-20 00:00:00,8832,
2016-02-23 00:00:00,5994,
2016-02-28 00:00:00,2023,86
2016-02-29 00:00:00,2081,71
2016-03-01 00:00:00,4931,76
2016-03-16 00:00:00,11838,75
2016-03-17 00:00:00,12174,79
2016-03-18 00:00:00,7802,77
2016-03-19 00:00:00,8285,75
2016-03-29 00:00:00,2109,70
2016-04-11 00:00:00,6822,80
2016-04-21 00:00:00,3419,75
2016-04-22 00:00:00,8087,74
2016-04-23 00:00:00,10079,81
2016-04-24 00:00:00,7113,76
2016-04-25 00:00:00,4826,71
2016-04-26 00:00:00,4744,74
2016-04-27 00:00:00,173,56
2016-04-28 00:00:00,10195,81
2016-04-29 00:00:00,7042,79
2016-04-30 00:00:00,3566,73
2016-05-01 00:00:00,3800,
2016-05-02 00:00:00,2565,76
2016-05-03 00:00:00,9361,80
2016-05-04 00:00:00,5371,89
2016-05-05 00:00:00,153,70
2016-05-06 00:00:00,7751,78
2016-05-08 00:00:00,6031,86
2016-05-09 00:00:00,5017,70
2016-05-10 00:00:00,7856,74
2016-05-11 00:00:00,4479,76
2016-05-12 00:00:00,1313,73
2016-05-13 00:00:00,12920,86
2016-05-14 00:00:00,15692,81
2016-05-15 00:00:00,14692,64
2016-05-16 00:00:00,7639,76
2016-05-17 00:00:00,4939,77
2016-05-18 00:00:00,3295,75
2016-05-20 00:00:00,,79
2016-05-22 00:00:00,5758,81
2016-05-23 00:00:00,5833,64
2016-05-24 00:00:00,6313,73
2016-05-25 00:00:00,5015,70
2016-05-26 00:00:00,6770,76
2016-05-27 00:00:00,7862,77
2016-05-28 00:00:00,6121,78
2016-05-29 00:00:00,1394,
2016-05-30 00:00:00,1415,62
2016-05-31 00:00:00,3519,67
2016-06-01 00:00:00,3622,70
2016-06-02 00:00:00,7349,71
2016-06-03 00:00:00,7606,82
2016-06-04 00:00:00,12940,78
2016-06-05 00:00:00,10642,92
2016-06-06 00:00:00,5484,63
2016-06-07 00:00:00,7441,78
2016-06-08 00:00:00,11349,77
2016-06-10 00:00:00,7479,73
2016-06-11 00:00:00,9468,83
2016-06-14 00:00:00,,78
2016-06-15 00:00:00,8315,78
2016-06-16 00:00:00,7641,79
2016-06-18 00:00:00,,82
2016-06-19 00:00:00,7599,80
2016-06-20 00:00:00,11020,85
2016-06-21 00:00:00,5115,81
2016-06-22 00:00:00,9005,78
2016-06-24 00:00:00,6998,81
2016-06-25 00:00:00,5598,82
2016-06-27 00:00:00,13468,81
2016-06-29 00:00:00,,86
2016-06-30 00:00:00,,76
2016-07-01 00:00:00,,79
2016-07-03 00:00:00,,82
2016-07-04 00:00:00,,76
2016-07-05 00:00:00,,74
2016-07-06 00:00:00,,75
