date,Step Counts,Heart Rate
2017-01-29 00:00:00,11813,
2017-01-30 00:00:00,16060,
2017-01-31 00:00:00,13480,
2017-02-01 00:00:00,3942,
2017-02-02 00:00:00,15526,
2017-02-03 00:00:00,13020,
2017-02-04 00:00:00,13302,
2017-02-05 00:00:00,11476,
2017-02-06 00:00:00,2373,
2017-02-07 00:00:00,5913,
2017-02-08 00:00:00,10616,
2017-02-09 00:00:00,4910,
2017-02-10 00:00:00,11778,
2017-02-11 00:00:00,2400,
2017-02-12 00:00:00,12585,
2017-02-13 00:00:00,1592,
2017-02-14 00:00:00,6257,
2017-02-15 00:00:00,3612,
2017-02-17 00:00:00,4911,
2017-02-18 00:00:00,8540,
2017-02-19 00:00:00,12711,
2017-02-20 00:00:00,4216,
2017-02-21 00:00:00,10747,
2017-02-22 00:00:00,9065,
2017-02-23 00:00:00,7401,
2017-02-24 00:00:00,11464,
2017-02-25 00:00:00,6692,
2017-02-26 00:00:00,9639,
2017-02-27 00:00:00,33,
2017-03-05 00:00:00,2535,
2017-03-06 00:00:00,2050,
2017-03-07 00:00:00,5840,
2017-03-10 00:00:00,7687,
2017-03-11 00:00:00,10187,
2017-03-12 00:00:00,12296,
2017-03-13 00:00:00,12999,
2017-03-14 00:00:00,11861,
2017-03-15 00:00:00,2610,
2017-03-16 00:00:00,6775,
2017-03-17 00:00:00,7407,
2017-03-18 00:00:00,14487,
2017-03-19 00:00:00,13949,
2017-03-23 00:00:00,5306,
2017-03-24 00:00:00,9038,
2017-03-25 00:00:00,18842,
2017-03-26 00:00:00,12103,
2017-03-27 00:00:00,11380,
2017-03-29 00:00:00,4494,
2017-04-02 00:00:00,11623,
2017-04-03 00:00:00,9163,
2017-04-04 00:00:00,1736,
2017-04-05 00:00:00,3650,
2017-04-06 00:00:00,12371,
2017-04-07 00:00:00,11891,
2017-04-08 00:00:00,13156,
2017-04-09 00:00:00,10421,
2017-04-10 00:00:00,11955,
2017-04-11 00:00:00,1548,
2017-04-12 00:00:00,2056,
2017-04-13 00:00:00,13995,
2017-04-14 00:00:00,11044,
2017-04-15 00:00:00,11079,
2017-04-16 00:00:00,11673,
2017-04-17 00:00:00,11579,
2017-04-18 00:00:00,3380,
2017-04-19 00:00:00,148,
2017-04-20 00:00:00,3898,
2017-04-21 00:00:00,7790,
2017-04-22 00:00:00,13782,
2017-04-23 00:00:00,14211,
2017-04-24 00:00:00,13603,
2017-04-25 00:00:00,10231,
2017-04-26 00:00:00,137,
2017-04-28 00:00:00,6239,
2017-04-29 00:00:00,12193,
2017-04-30 00:00:00,10568,
2017-05-01 00:00:00,9130,
