date,Step Counts,Heart Rate
2016-06-29 00:00:00,,74
2016-06-30 00:00:00,,81
2016-07-02 00:00:00,,81
2016-07-03 00:00:00,,82
2016-07-04 00:00:00,,78
2016-07-06 00:00:00,,80
2016-07-07 00:00:00,,83
2016-07-08 00:00:00,,72
2016-07-10 00:00:00,,79
2016-07-11 00:00:00,,80
2016-07-14 00:00:00,,83
2016-07-16 00:00:00,,95
2016-07-18 00:00:00,,85
2016-07-19 00:00:00,,78
2016-07-20 00:00:00,,77
2016-07-21 00:00:00,,92
2016-07-22 00:00:00,,78
2016-07-23 00:00:00,,93
2016-07-24 00:00:00,,72
2016-07-25 00:00:00,,72
2016-07-26 00:00:00,,84
2016-07-28 00:00:00,,75
2016-07-29 00:00:00,,80
2016-07-30 00:00:00,,72
2016-08-02 00:00:00,,72
2016-08-05 00:00:00,,71
2016-08-06 00:00:00,,78
2016-08-07 00:00:00,,86
2016-08-08 00:00:00,,96
2016-08-09 00:00:00,,77
2016-08-19 00:00:00,,79
2016-08-20 00:00:00,,90
2016-08-22 00:00:00,,82
2016-08-23 00:00:00,,73
2016-08-24 00:00:00,,80
2016-08-25 00:00:00,,91
2016-08-26 00:00:00,,89
2016-08-29 00:00:00,,76
2016-09-01 00:00:00,,67
2016-09-03 00:00:00,,80
2016-09-05 00:00:00,,80
2016-09-07 00:00:00,,78
2016-09-10 00:00:00,,83
2016-09-12 00:00:00,,82
2016-09-17 00:00:00,,82
2016-09-19 00:00:00,,78
2016-09-20 00:00:00,,81
2016-09-22 00:00:00,,76
2016-09-23 00:00:00,,72
2016-09-25 00:00:00,,80
2016-09-26 00:00:00,,71
2016-11-07 00:00:00,,72
2016-11-09 00:00:00,,88
2016-11-10 00:00:00,,82
2016-11-11 00:00:00,,77
2016-11-12 00:00:00,,92
2016-11-13 00:00:00,,90
2016-11-14 00:00:00,,82
2016-11-15 00:00:00,,81
2016-11-16 00:00:00,,78
2016-11-18 00:00:00,,98
2016-11-19 00:00:00,,87
2016-11-20 00:00:00,,83
2016-11-22 00:00:00,,87
