date,Step Counts,Heart Rate
2018-01-27 00:00:00,,75
2018-01-29 00:00:00,,70
2018-01-30 00:00:00,,75
2018-01-31 00:00:00,,72
2018-02-01 00:00:00,,74
2018-02-02 00:00:00,,69
2018-02-05 00:00:00,,69
2018-02-07 00:00:00,,73
2018-02-08 00:00:00,,78
2018-02-10 00:00:00,,73
2018-02-11 00:00:00,,71
2018-02-12 00:00:00,,74
2018-02-13 00:00:00,,78
2018-02-14 00:00:00,,70
2018-02-15 00:00:00,,71
2018-02-16 00:00:00,,71
2018-02-17 00:00:00,,77
2018-02-18 00:00:00,,73
2018-02-19 00:00:00,,77
2018-02-20 00:00:00,,72
2018-02-21 00:00:00,,69
2018-02-22 00:00:00,,69
