date,Step Counts,Heart Rate
2018-01-17 00:00:00,,82
2018-01-18 00:00:00,,97
2018-01-19 00:00:00,,106
2018-01-20 00:00:00,,93
2018-01-21 00:00:00,,98
2018-01-23 00:00:00,,119
2018-01-24 00:00:00,,87
2018-01-25 00:00:00,,100
2018-01-26 00:00:00,,96
2018-01-28 00:00:00,,102
2018-01-29 00:00:00,,107
2018-01-30 00:00:00,,99
2018-01-31 00:00:00,,90
2018-02-02 00:00:00,,117
2018-02-03 00:00:00,,97
2018-02-04 00:00:00,,118
2018-02-05 00:00:00,,100
2018-02-06 00:00:00,,95
2018-02-07 00:00:00,,104
2018-02-10 00:00:00,,98
2018-02-11 00:00:00,,89
2018-02-13 00:00:00,,100
2018-02-16 00:00:00,,94
2018-02-17 00:00:00,,111
2018-02-19 00:00:00,,80
2018-02-20 00:00:00,,89
2018-02-21 00:00:00,,101
2018-02-22 00:00:00,,87
2018-02-25 00:00:00,,104
2018-02-26 00:00:00,,108
2018-02-27 00:00:00,,97
2018-03-02 00:00:00,,103
2018-03-04 00:00:00,,97
2018-03-05 00:00:00,,105
2018-03-06 00:00:00,,96
2018-03-07 00:00:00,,102
2018-03-08 00:00:00,,104
2018-03-09 00:00:00,,110
2018-03-10 00:00:00,,100
2018-03-13 00:00:00,,103
2018-03-15 00:00:00,,102
2018-03-16 00:00:00,,97
2018-03-18 00:00:00,,91
2018-03-20 00:00:00,,100
2018-03-21 00:00:00,,101
2018-03-22 00:00:00,,104
2018-03-23 00:00:00,,121
2018-03-24 00:00:00,,109
2018-03-25 00:00:00,,93
2018-03-26 00:00:00,,94
2018-03-27 00:00:00,,86
2018-03-29 00:00:00,,94
2018-03-30 00:00:00,,95
2018-03-31 00:00:00,,99
2018-04-01 00:00:00,,99
2018-04-03 00:00:00,,97
2018-04-04 00:00:00,,94
2018-04-05 00:00:00,,86
2018-04-06 00:00:00,,94
2018-04-08 00:00:00,,96
2018-04-09 00:00:00,,89
2018-04-10 00:00:00,,100
2018-04-11 00:00:00,,106
2018-04-12 00:00:00,,93
2018-04-16 00:00:00,,85
2018-04-17 00:00:00,,102
2018-04-18 00:00:00,,97
2018-04-19 00:00:00,,88
2018-04-20 00:00:00,,81
2018-04-21 00:00:00,,96
2018-04-22 00:00:00,,89
2018-04-24 00:00:00,,91
2018-04-25 00:00:00,,91
2018-04-26 00:00:00,,96
2018-04-29 00:00:00,,91
2018-04-30 00:00:00,,106
2018-05-01 00:00:00,,113
2018-05-02 00:00:00,,77
2018-05-04 00:00:00,,93
2018-05-06 00:00:00,,83
2018-05-07 00:00:00,,99
2018-05-08 00:00:00,,103
2018-05-09 00:00:00,,89
2018-05-10 00:00:00,,91
2018-05-11 00:00:00,,98
2018-05-12 00:00:00,,94
2018-05-14 00:00:00,,97
2018-05-15 00:00:00,,110
