date,Step Counts,Heart Rate
2016-02-29 00:00:00,3117,91
2016-03-02 00:00:00,4545,90
2016-03-03 00:00:00,4415,89
2016-03-04 00:00:00,4375,88
2016-03-07 00:00:00,5543,94
2016-03-08 00:00:00,4841,85
2016-03-09 00:00:00,5495,89
2016-03-10 00:00:00,6481,80
2016-03-13 00:00:00,,139
2016-03-14 00:00:00,2360,128
2016-03-15 00:00:00,2524,104
2016-03-16 00:00:00,3554,91
2016-03-18 00:00:00,,112
2016-03-20 00:00:00,,92
2016-03-21 00:00:00,2082,102
2016-03-30 00:00:00,,79
2016-03-31 00:00:00,,86
