date,Step Counts,Heart Rate
2016-01-10 00:00:00,7970,92
2016-01-11 00:00:00,2939,101
2016-01-13 00:00:00,2452,100
2016-01-14 00:00:00,2850,99
2016-01-15 00:00:00,485,97
2016-01-16 00:00:00,2977,95
2016-01-18 00:00:00,209,95
2016-01-19 00:00:00,3762,94
2016-01-20 00:00:00,4718,96
2016-01-21 00:00:00,3093,99
2016-01-22 00:00:00,496,106
2016-01-23 00:00:00,2867,114
2016-01-24 00:00:00,772,
2016-01-26 00:00:00,1908,
2016-01-27 00:00:00,4225,94
2016-01-28 00:00:00,3039,96
2016-01-29 00:00:00,375,104
2016-01-30 00:00:00,2353,87
