date,Step Counts,Heart Rate
2016-05-12 00:00:00,8835,81
2016-05-13 00:00:00,11595,83
2016-05-15 00:00:00,3156,90
2016-05-16 00:00:00,5857,95
2016-05-17 00:00:00,13590,80
2016-05-18 00:00:00,11008,75
2016-05-19 00:00:00,7755,70
2016-05-20 00:00:00,,82
2016-05-23 00:00:00,10245,77
2016-05-25 00:00:00,14379,75
2016-05-26 00:00:00,2456,87
2016-05-29 00:00:00,,93
2016-05-30 00:00:00,9381,84
2016-05-31 00:00:00,8776,85
2016-06-03 00:00:00,,91
2016-06-04 00:00:00,,91
2016-06-05 00:00:00,,100
2016-06-06 00:00:00,,83
2016-06-07 00:00:00,,77
2016-06-08 00:00:00,,81
2016-06-09 00:00:00,,80
2016-06-10 00:00:00,,80
2016-06-11 00:00:00,,77
2016-06-13 00:00:00,,77
2016-06-14 00:00:00,,87
2016-06-16 00:00:00,,83
2016-06-17 00:00:00,,88
2016-06-19 00:00:00,,87
2016-06-20 00:00:00,,84
2016-06-21 00:00:00,,83
2016-06-22 00:00:00,,87
2016-06-23 00:00:00,,90
2016-06-27 00:00:00,,82
2016-06-29 00:00:00,,75
2016-06-30 00:00:00,,73
2016-07-01 00:00:00,,62
2016-07-03 00:00:00,,88
2016-07-05 00:00:00,,74
2016-07-06 00:00:00,,85
2016-07-07 00:00:00,,76
2016-07-09 00:00:00,,79
2016-07-12 00:00:00,,75
2016-07-13 00:00:00,,78
2016-07-15 00:00:00,,82
2016-07-16 00:00:00,,91
2016-07-17 00:00:00,,103
2016-07-19 00:00:00,,77
2016-07-20 00:00:00,,84
2016-07-21 00:00:00,,84
2016-07-25 00:00:00,,78
2016-07-27 00:00:00,,78
2016-07-28 00:00:00,,81
2016-07-30 00:00:00,,109
2016-07-31 00:00:00,,89
2016-08-04 00:00:00,,77
2016-08-12 00:00:00,,80
2016-08-14 00:00:00,,86
