date,Step Counts,Heart Rate
2016-12-16 00:00:00,,73
2016-12-17 00:00:00,7724,68
2016-12-18 00:00:00,1612,68
2016-12-19 00:00:00,1160,68
2016-12-22 00:00:00,7610,67
2016-12-24 00:00:00,498,64
2016-12-25 00:00:00,1467,70
2016-12-27 00:00:00,4897,71
2016-12-28 00:00:00,1461,68
2016-12-30 00:00:00,1211,68
2017-01-01 00:00:00,1412,67
2017-01-03 00:00:00,12747,68
2017-01-04 00:00:00,1178,68
2017-01-05 00:00:00,6830,67
2017-01-06 00:00:00,7640,66
2017-01-07 00:00:00,886,64
2017-01-08 00:00:00,1210,66
2017-01-10 00:00:00,5767,65
2017-01-11 00:00:00,1366,63
2017-01-12 00:00:00,448,66
2017-01-13 00:00:00,5145,69
2017-01-14 00:00:00,673,67
2017-01-16 00:00:00,8379,65
2017-01-18 00:00:00,6261,69
2017-01-19 00:00:00,662,67
2017-01-20 00:00:00,1264,66
2017-01-21 00:00:00,828,62
2017-01-23 00:00:00,444,66
2017-01-24 00:00:00,541,66
2017-01-25 00:00:00,209,62
2017-01-26 00:00:00,631,64
2017-01-27 00:00:00,7198,65
2017-01-28 00:00:00,869,64
2017-01-30 00:00:00,6063,65
2017-01-31 00:00:00,792,65
2017-02-03 00:00:00,793,63
2017-02-04 00:00:00,1975,66
2017-02-05 00:00:00,1334,62
2017-02-06 00:00:00,5687,74
2017-02-07 00:00:00,4178,68
2017-02-08 00:00:00,4745,75
2017-02-09 00:00:00,4446,68
2017-02-11 00:00:00,1522,65
2017-02-12 00:00:00,640,63
2017-02-14 00:00:00,4124,64
2017-02-15 00:00:00,5658,75
2017-02-16 00:00:00,4971,73
2017-02-17 00:00:00,3000,73
2017-02-18 00:00:00,2911,65
2017-02-19 00:00:00,993,63
2017-02-24 00:00:00,14892,63
2017-02-25 00:00:00,564,65
2017-02-26 00:00:00,155,64
2017-02-28 00:00:00,466,76
2017-03-02 00:00:00,627,73
2017-03-03 00:00:00,20,65
2017-03-04 00:00:00,4,62
2017-03-05 00:00:00,4,65
