date,Step Counts,Heart Rate
2016-05-28 00:00:00,6172,73
2016-05-29 00:00:00,4778,119
2016-05-31 00:00:00,6199,82
2016-06-02 00:00:00,5001,76
2016-06-04 00:00:00,4796,77
2016-06-05 00:00:00,3361,73
2016-06-06 00:00:00,4593,80
2016-06-08 00:00:00,5291,81
2016-06-09 00:00:00,4803,76
2016-06-10 00:00:00,4567,74
2016-06-11 00:00:00,5734,81
2016-06-12 00:00:00,2444,85
2016-06-13 00:00:00,4054,71
2016-06-14 00:00:00,2831,75
2016-06-15 00:00:00,3878,77
2016-06-16 00:00:00,4392,81
2016-06-17 00:00:00,3014,77
2016-06-18 00:00:00,1675,72
2016-06-20 00:00:00,4071,79
2016-06-21 00:00:00,3268,76
2016-06-23 00:00:00,154,73
2016-06-24 00:00:00,,78
2016-06-25 00:00:00,,73
2016-06-26 00:00:00,,73
2016-06-27 00:00:00,,74
2016-06-28 00:00:00,,74
2016-06-29 00:00:00,,79
2016-06-30 00:00:00,,80
2016-07-01 00:00:00,,77
2016-07-02 00:00:00,,81
2016-07-03 00:00:00,,78
2016-07-04 00:00:00,,80
2016-07-05 00:00:00,,75
2016-07-06 00:00:00,,83
2016-07-08 00:00:00,,74
2016-07-09 00:00:00,,79
2016-07-10 00:00:00,,75
2016-07-12 00:00:00,,74
2016-07-13 00:00:00,,74
2016-07-15 00:00:00,,79
2016-07-16 00:00:00,,72
2016-07-17 00:00:00,,67
2016-07-18 00:00:00,,76
2016-07-20 00:00:00,,74
2016-07-21 00:00:00,,71
2016-07-23 00:00:00,,81
2016-07-24 00:00:00,,74
2016-07-26 00:00:00,,73
2016-07-27 00:00:00,,75
2016-07-28 00:00:00,,73
2016-07-29 00:00:00,,75
2016-07-30 00:00:00,,69
2016-07-31 00:00:00,,75
2016-08-01 00:00:00,,77
2016-08-03 00:00:00,,80
2016-08-04 00:00:00,,77
2016-08-05 00:00:00,,72
2016-08-06 00:00:00,,77
2016-08-10 00:00:00,,81
2016-08-11 00:00:00,,72
2016-08-12 00:00:00,,73
2016-08-13 00:00:00,,79
2016-08-14 00:00:00,,80
2016-08-15 00:00:00,,73
2016-08-16 00:00:00,,75
