date,Step Counts,Heart Rate
2016-07-27 00:00:00,3948,75
2016-07-29 00:00:00,,86
2016-07-30 00:00:00,,89
2016-07-31 00:00:00,,84
2016-08-03 00:00:00,,85
2016-08-04 00:00:00,,86
2016-08-05 00:00:00,,83
2016-08-07 00:00:00,,85
2016-08-08 00:00:00,,85
2016-08-09 00:00:00,,82
2016-08-10 00:00:00,,85
2016-08-12 00:00:00,,83
2016-08-14 00:00:00,,91
2016-08-15 00:00:00,,85
2016-08-16 00:00:00,,82
2016-08-18 00:00:00,,89
2016-08-19 00:00:00,,92
2016-08-20 00:00:00,,81
2016-08-21 00:00:00,,82
2016-08-22 00:00:00,,88
2016-08-23 00:00:00,,84
2016-08-24 00:00:00,,86
2016-08-25 00:00:00,,86
2016-08-26 00:00:00,,83
2016-08-27 00:00:00,,87
2016-08-28 00:00:00,,85
2016-08-30 00:00:00,,80
2016-08-31 00:00:00,,86
2016-09-02 00:00:00,,84
2016-09-03 00:00:00,,85
2016-09-05 00:00:00,,81
2016-09-06 00:00:00,,84
2016-09-07 00:00:00,,87
2016-09-08 00:00:00,,86
2016-09-09 00:00:00,,82
2016-09-10 00:00:00,,86
2016-09-11 00:00:00,,76
2016-09-13 00:00:00,,83
2016-09-14 00:00:00,,83
2016-09-16 00:00:00,,80
2016-09-17 00:00:00,,85
2016-09-18 00:00:00,,86
2016-09-19 00:00:00,,81
2016-09-20 00:00:00,,81
2016-09-21 00:00:00,,79
2016-09-22 00:00:00,,86
2016-09-23 00:00:00,,75
2016-09-24 00:00:00,,80
2016-09-26 00:00:00,,82
2016-09-27 00:00:00,,82
2016-09-28 00:00:00,,86
2016-09-29 00:00:00,,80
2016-09-30 00:00:00,,79
2016-10-01 00:00:00,,80
2016-10-03 00:00:00,,83
2016-10-04 00:00:00,,76
2016-10-05 00:00:00,,78
2016-10-06 00:00:00,,81
2016-10-08 00:00:00,,87
2016-10-09 00:00:00,4743,74
2016-10-10 00:00:00,11650,81
2016-10-11 00:00:00,9222,82
2016-10-12 00:00:00,14637,86
2016-10-14 00:00:00,8752,84
2016-10-16 00:00:00,10866,75
2016-10-18 00:00:00,14714,89
2016-10-19 00:00:00,5564,82
2016-10-20 00:00:00,7322,
2016-10-21 00:00:00,10441,
2016-10-22 00:00:00,34,
2016-10-23 00:00:00,5034,75
2016-10-24 00:00:00,11721,79
2016-10-25 00:00:00,6653,78
2016-10-26 00:00:00,13415,81
2016-10-27 00:00:00,14225,88
2016-10-28 00:00:00,11084,85
2016-10-29 00:00:00,6876,76
2016-10-30 00:00:00,13104,83
2016-10-31 00:00:00,14238,87
2016-11-01 00:00:00,3108,87
2016-11-03 00:00:00,9402,79
2016-11-04 00:00:00,6429,89
2016-11-05 00:00:00,1551,87
2016-11-06 00:00:00,10684,85
2016-11-08 00:00:00,3760,88
2016-11-11 00:00:00,16373,83
2016-11-12 00:00:00,11415,88
2016-11-14 00:00:00,10490,93
2016-11-15 00:00:00,6893,93
2016-11-16 00:00:00,8555,84
2016-11-17 00:00:00,11567,83
2016-11-18 00:00:00,9993,84
2016-11-19 00:00:00,7378,86
2016-11-21 00:00:00,10184,81
2016-11-22 00:00:00,3794,97
2016-11-24 00:00:00,12098,86
2016-11-25 00:00:00,447,
2016-11-26 00:00:00,801,
2016-11-27 00:00:00,14347,
2016-11-28 00:00:00,9025,77
2016-11-29 00:00:00,3697,84
