date,Step Counts,Heart Rate
2016-06-20 00:00:00,2168,72
2016-06-21 00:00:00,3758,75
2016-06-23 00:00:00,,84
2016-06-24 00:00:00,,77
2016-06-25 00:00:00,,80
2016-06-26 00:00:00,,73
2016-06-27 00:00:00,,76
2016-06-28 00:00:00,,65
2016-06-29 00:00:00,,75
2016-06-30 00:00:00,,79
2016-07-01 00:00:00,,73
2016-07-02 00:00:00,,70
2016-07-03 00:00:00,,79
2016-07-04 00:00:00,,74
2016-07-05 00:00:00,,71
2016-07-06 00:00:00,,73
2016-07-08 00:00:00,,70
2016-07-09 00:00:00,,71
2016-07-10 00:00:00,,72
2016-07-11 00:00:00,,75
2016-07-12 00:00:00,,68
2016-07-13 00:00:00,,67
2016-07-14 00:00:00,,66
2016-07-15 00:00:00,,80
2016-07-16 00:00:00,,72
2016-07-17 00:00:00,,80
2016-07-18 00:00:00,,72
2016-07-19 00:00:00,,74
2016-07-20 00:00:00,,76
2016-07-21 00:00:00,,72
2016-07-22 00:00:00,,73
2016-07-23 00:00:00,,71
2016-07-24 00:00:00,,73
2016-07-25 00:00:00,,75
