date,Step Counts,Heart Rate
2016-04-26 00:00:00,,99
2016-04-27 00:00:00,,112
2016-04-28 00:00:00,,92
2016-04-29 00:00:00,,79
2016-04-30 00:00:00,,88
2016-05-01 00:00:00,,83
2016-05-02 00:00:00,,79
2016-05-03 00:00:00,,80
2016-05-04 00:00:00,,83
2016-05-05 00:00:00,,81
2016-05-06 00:00:00,,81
2016-05-07 00:00:00,,74
2016-05-08 00:00:00,,81
2016-05-09 00:00:00,,76
2016-05-10 00:00:00,,85
2016-05-11 00:00:00,,85
2016-05-13 00:00:00,8484,78
2016-05-14 00:00:00,9185,81
2016-05-16 00:00:00,1497,
2016-05-17 00:00:00,6292,78
2016-05-18 00:00:00,9374,78
2016-05-19 00:00:00,4560,75
2016-05-21 00:00:00,,82
2016-05-23 00:00:00,4207,88
2016-05-24 00:00:00,4008,83
2016-05-25 00:00:00,14456,87
2016-05-26 00:00:00,5458,78
2016-05-27 00:00:00,1379,86
2016-05-28 00:00:00,10258,77
2016-05-30 00:00:00,8715,83
2016-05-31 00:00:00,9125,87
2016-06-01 00:00:00,6621,87
2016-06-02 00:00:00,7749,87
2016-06-03 00:00:00,7270,86
2016-06-04 00:00:00,8710,95
2016-06-05 00:00:00,5849,
2016-06-06 00:00:00,11565,82
2016-06-07 00:00:00,7817,79
2016-06-08 00:00:00,5839,83
2016-06-10 00:00:00,5305,86
2016-06-12 00:00:00,3380,
2016-06-13 00:00:00,7337,87
2016-06-14 00:00:00,4872,79
2016-06-16 00:00:00,,84
2016-06-18 00:00:00,9834,84
2016-06-19 00:00:00,733,74
2016-06-20 00:00:00,9425,84
2016-06-22 00:00:00,6553,87
2016-06-23 00:00:00,,84
2016-06-25 00:00:00,,88
2016-06-26 00:00:00,,83
2016-06-27 00:00:00,,91
2016-06-28 00:00:00,,85
2016-06-29 00:00:00,,84
2016-06-30 00:00:00,,90
2016-07-01 00:00:00,,72
2016-07-04 00:00:00,,83
2016-07-05 00:00:00,,82
2016-07-07 00:00:00,,85
2016-07-09 00:00:00,,81
