date,Step Counts,Heart Rate
2016-03-07 00:00:00,5118,80
2016-03-08 00:00:00,2504,78
2016-03-09 00:00:00,5190,75
2016-03-10 00:00:00,10929,72
2016-03-11 00:00:00,7029,84
2016-03-13 00:00:00,4113,79
2016-03-14 00:00:00,5201,82
2016-03-16 00:00:00,6876,74
2016-03-17 00:00:00,2533,78
2016-03-18 00:00:00,6504,75
2016-03-19 00:00:00,11292,77
2016-03-20 00:00:00,11626,77
2016-03-21 00:00:00,6763,71
2016-03-22 00:00:00,5316,74
2016-03-23 00:00:00,4102,67
2016-03-24 00:00:00,4132,73
2016-03-25 00:00:00,5859,73
2016-03-26 00:00:00,6324,72
2016-03-27 00:00:00,12882,79
2016-03-28 00:00:00,5942,78
2016-03-29 00:00:00,6274,75
2016-03-30 00:00:00,5313,80
2016-03-31 00:00:00,5609,81
2016-04-01 00:00:00,9613,79
2016-04-02 00:00:00,11294,89
2016-04-03 00:00:00,8680,68
2016-04-05 00:00:00,5926,78
2016-04-06 00:00:00,5021,79
2016-04-07 00:00:00,6959,75
2016-04-08 00:00:00,5519,77
2016-04-10 00:00:00,6571,77
2016-04-11 00:00:00,9472,75
2016-04-12 00:00:00,7762,73
2016-04-13 00:00:00,8521,78
2016-04-14 00:00:00,7188,73
2016-04-15 00:00:00,6479,80
2016-04-16 00:00:00,7453,75
2016-04-17 00:00:00,152,73
2016-04-18 00:00:00,8412,84
2016-04-19 00:00:00,9377,74
2016-04-20 00:00:00,7633,78
2016-04-21 00:00:00,10667,80
2016-04-22 00:00:00,69,68
