date,Step Counts,Heart Rate
2016-03-18 00:00:00,,79
2016-03-19 00:00:00,,72
2016-03-20 00:00:00,,76
2016-03-21 00:00:00,,73
2016-03-22 00:00:00,,70
2016-03-23 00:00:00,,74
2016-03-24 00:00:00,,74
2016-03-25 00:00:00,,71
2016-03-26 00:00:00,,75
2016-03-27 00:00:00,,76
2016-03-28 00:00:00,,79
2016-03-29 00:00:00,,73
2016-03-30 00:00:00,,78
2016-03-31 00:00:00,,73
2016-04-01 00:00:00,,72
2016-04-02 00:00:00,,74
2016-04-03 00:00:00,,75
2016-04-04 00:00:00,,75
2016-04-05 00:00:00,,75
2016-04-06 00:00:00,,80
2016-04-07 00:00:00,,68
2016-04-08 00:00:00,,79
2016-04-09 00:00:00,,78
2016-04-10 00:00:00,,73
2016-04-11 00:00:00,,72
2016-04-19 00:00:00,,77
2016-04-20 00:00:00,,81
2016-04-21 00:00:00,,78
2016-04-22 00:00:00,,74
2016-04-23 00:00:00,,79
2016-04-25 00:00:00,,76
2016-04-26 00:00:00,,77
2016-04-27 00:00:00,,78
2016-04-29 00:00:00,,76
2016-05-01 00:00:00,,76
2016-05-02 00:00:00,,78
2016-05-03 00:00:00,,71
